品种id,分类id,指标代码,指标中文名,单位,参数,适用范围
110,110001001001,OPEN,开盘价,,,沪深股票
110,110001001001,CLOSE,收盘价,,,沪深股票
110,110001001001,HIGH,最高价,,,沪深股票
110,110001001001,LOW,最低价,,,沪深股票
110,110001001001,PRECLOSE,前收盘价,,,沪深股票
110,110001001001,AVERAGE,均价,,,沪深股票
110,110001001001,CHANGE,涨跌,,,沪深股票
110,110001001001,PCTCHANGE,涨跌幅,,,沪深股票
110,110001001001,HIGHLIMIT,是否涨停,,,沪深股票
110,110001001001,VOLUME,成交量,,,沪深股票
110,110001001001,AMOUNT,成交金额,,,沪深股票
110,110001001001,TURN,换手率,,,沪深股票
110,110001001001,TRADESTATUS,交易状态,,,沪深股票
110,110001001001,TNUM,成交笔数,,,沪深股票
110,110001001001,LOWLIMIT,是否跌停,,,沪深股票
110,110001001001,AMPLITUDE,振幅,,,沪深股票
110,110001001001,BUYVOL,内盘成交量,,,沪深股票
110,110001001001,SELLVOL,外盘成交量,,,沪深股票
110,110001001001,TAFACTOR,复权因子(后),,,沪深股票
110,110001001001,FRONTTAFACTOR,前复权因子(定点复权),,,沪深股票
110,110001001001,ISSTSTOCK,是否为ST股票,,,沪深股票
110,110001001001,ISXSTSTOCK,是否为*ST股票,,,沪深股票
110,110001001002,MV2,总市值(证监会算法),,交易日期、单位,沪深股票
110,110001001002,MV,总市值,,,沪深股票
110,110001001002,PETTM,市盈率(TTM),,,沪深股票
110,110001001002,PE,市盈率(PE),,,沪深股票
110,110001001002,PSTTM,"市销率(PS,TTM)",,,沪深股票
110,110001001002,PS,市销率(PS),,,沪深股票
110,110001001002,PCFTTM,"市现率(PCF,现金净流量TTM)",,,沪深股票
110,110001001002,PCF,"市现率(PCF,现金净流量)",,,沪深股票
110,110001001002,PCFOCFTTM,"市现率(PCF,经营现金流TTM)",,,沪深股票
110,110001001002,PCFOCF,"市现率(PCF,经营现金流)",,,沪深股票
110,110001001002,PB,市净率(PB),,,沪深股票
110,110001001002,EV2,企业价值(剔除货币资金)(EV2),,,沪深股票
110,110001001002,EV1,企业价值(含货币资金)(EV1),,,沪深股票
110,110001001002,EVTOEBITDA,企业倍数(EV2/EBITDA),,,沪深股票
110,110001001002,DIVIDENDYIELD,股息率(年度),,,沪深股票
110,110001001002,EV,股权价值,,,沪深股票
110,110001001002,MVB4,"B股市值(不含限售股,交易币种)",,,沪深股票
110,110001001002,MVB1,"B股市值(含限售股,折人民币)",,,沪深股票
110,110001001002,MVB3,"B股市值(含限售股,交易币种)",,,沪深股票
110,110001001002,MVB2,"B股市值(不含限售股,折人民币)",,,沪深股票
110,110001001002,ESTPEFTM,"预测市盈率(PE,未来12月)",,,沪深股票
110,110001001002,MVA1,A股市值(含限售股),,,沪深股票
110,110001001002,MVA2,A股市值(不含限售股),,,沪深股票
110,110001001002,ESTPE,"预测市盈率(PE,历史预测)",,,沪深股票
110,110001001002,ESTPEG,预测PEG,,,沪深股票
110,110001001002,PELYR,"市盈率(PE,LYR)(按最新公告日)",,,沪深股票
110,110001001002,PRRLYR,"市研率(prr,lyr)",,,沪深股票
110,110001001002,LIQMV,自由流通市值,,,沪深股票
110,110001001002,LASTESTDIVIDEND,最新股息率,,,沪深股票
110,110001001002,EQUITYADJLIQMV,流通市值(按股东权益修正),,,沪深股票
110,110001001002,PBLYR,"市净率(PB,LYR)(按最近公告日)",,,沪深股票
110,110001001002,PBMRQ,"市净率(PB,MRQ)(按最近公告日)",,,沪深股票
110,110001001002,PEG,历史PEG,,,沪深股票
110,110001001002,PETTMDEDUCTED,市盈率TTM(扣除非经常性损益),,,沪深股票
110,110001001002,PEDYNAMIC,动态市盈率,,,沪深股票
110,110001001002,PBDEDUCTBS,"市净率(PB,扣除商誉)",,,沪深股票
110,110001001002,PE_TTM_ORIGIN,"市盈率PE(TTM,原始值计算)",,,沪深股票
110,110001001003,TOTALSHARE,总股本,,,沪深股票
110,110001001003,LIQAADDEXECUTIVE,流通A股(含锁定股),,,沪深股票
110,110001001003,LIQASHARE,流通A股,,,沪深股票
110,110001001003,LIQBSHARE,流通B股,,,沪深股票
110,110001001003,OVERSEASHARE,海外上市股,,,沪深股票
110,110001001003,RESTRICTEDSHAREB,限售B股,,,沪深股票
110,110001001003,LIQHSHARE,流通H股,,,沪深股票
110,110001001003,NONTRADABLESHARE,股改前非流通股,,,沪深股票
110,110001001003,RESTRICTEDSHAREA,限售A股,,,沪深股票
110,110001001003,RESTRICTEDSHAREH,限售H股,,,沪深股票
110,110001001003,TOTALSHAREA,A股合计,,,沪深股票
110,110001001003,TOTALRESTRICTED,限售股合计,,,沪深股票
110,110001001003,TOTALTRADABLE,无限售流通股合计,,,沪深股票
110,110001001003,TOTALSHAREH,H股合计,,,沪深股票
110,110001001003,TOTALSHAREB,B股合计,,,沪深股票
110,110001001003,FREELIQCISHARE,自由流通股本,,,沪深股票
110,110001001003,HOLDNUM,股东户数,,,沪深股票
110,110001001003,HOLDTNUM,股东总户数,,,沪深股票
110,110001001003,LIQSHARE,流通股本,,,沪深股票
110,110001001010003,REPURALLOWANCE,待回购余量(万股),,,沪深股票
110,110001001010003,UNLIMITREPURMARGIN,待回购无限售条件余量(万股),,,沪深股票
110,110001001010003,LIMITREPURMARGIN,待回购有限售条件余量(万股),,,沪深股票
110,110001001010003,PLEDGENUM,质押笔数,,,沪深股票
110,110001001010003,PLEDGERATIO,质押比例,,,沪深股票
110,110001001010004,INITIALTRADENUM,初始交易数量,,,沪深股票
110,110001001010004,REDEEMTRADENUM,购回交易数量,,,沪深股票
110,110001001010004,REPURALLOWANCEEX,待回购余量(交易所),,,沪深股票
110,110001001010004,UNLIMITREPURMARGINEX,待回购无限售条件余量(交易所),,,沪深股票
110,110001001010004,LIMITREPURMARGINEX,待回购有限售条件余量(交易所),,,沪深股票
110,110001001010004,PLEDGERATIOEX,质押比例(交易所),,,沪深股票
110,110001001010005,SHAREHDNUM,持股数量,,,沪深股票
110,110001001010005,SHAREHDPCT,持股占比,,,沪深股票
110,110001001005,AVGRETURNR100,年化收益率(最近100周),,,沪深股票
110,110001001005,AVGRETURNR24,年化收益率(最近24个月),,,沪深股票
110,110001001005,AVGRETURNR60,年化收益率(最近60个月),,,沪深股票
110,110001001005,BETAR100,beta值(最近100周),,,沪深股票
110,110001001005,BETAR24,beta值(最近24个月),,,沪深股票
110,110001001005,BETAR60,beta值(最近60个月),,,沪深股票
110,110001001005,STDEVR100,年化波动率(最近100周),,,沪深股票
110,110001001005,STDEVR24,年化波动率(最近24个月),,,沪深股票
110,110001001005,STDEVR60,年化波动率(最近60个月),,,沪深股票
110,110001001006,INFLOWRATE,(日)主力资金净流入率,,,沪深股票
110,110001001006,MIDINFLOW,(日)中单流入资金,,,沪深股票
110,110001001006,INFLOW,(日)主力流入资金,,,沪深股票
110,110001001006,OUTFLOW,(日)主力流出资金,,,沪深股票
110,110001001006,NETINFLOW,(日)主力净流入资金,,,沪深股票
110,110001001006,BIGOUTFLOW,(日)大单流出资金,,,沪深股票
110,110001001006,MIDOUTFLOW,(日)中单流出资金,,,沪深股票
110,110001001006,SMINFLOW,(日)小单流入资金,,,沪深股票
110,110001001006,SMOUTFLOW,(日)小单流出资金,,,沪深股票
110,110001001006,SUPOUTFLOW,(日)超大单流出资金,,,沪深股票
110,110001001006,SUPINFLOW,(日)超大单流入资金,,,沪深股票
110,110001001006,BIGINFLOW,(日)大单流入资金,,,沪深股票
110,110001001006,BUYVOLUME,主力买盘成交量,,,沪深股票
110,110001001006,SELLVOLUME,主力卖盘成交量,,,沪深股票
110,110001001006,SUPBUYVOLUME,超大单买盘成交量,,,沪深股票
110,110001001006,SUPSELLVOLUME,超大单卖盘成交量,,,沪深股票
110,110001001006,BIGBUYVOLUME,大单买盘成交量,,,沪深股票
110,110001001006,BIGSELLVOLUME,大单卖盘成交量,,,沪深股票
110,110001001006,MIDBUYVOLUME,中单买盘成交量,,,沪深股票
110,110001001006,MIDSELLVOLUME,中单卖盘成交量,,,沪深股票
110,110001001006,SMBUYVOLUME,小单买盘成交量,,,沪深股票
110,110001001006,SMSELLVOLUME,小单卖盘成交量,,,沪深股票
110,110001001006,NETINVOLUME,主力净流入量,,,沪深股票
110,110001001006,DDX,ddx,,,沪深股票
110,110001001006,SUPINFLOWRATE,(日)超大单净流入率,,,沪深股票
110,110001001006,BIGINFLOWRATE,(日)大单净流入率,,,沪深股票
110,110001001006,BIGNETINFLOW,(日)大单净流入资金,,,沪深股票
110,110001001006,MIDINFLOWRATE,(日)中单净流入率,,,沪深股票
110,110001001006,SMINFLOWRATE,(日)小单净流入率,,,沪深股票
110,110001001006,SUPNETINFLOW,(日)超大单净流入资金,,,沪深股票
110,110001001006,SUPNETINVOLUME,超大单净流入量,,,沪深股票
110,110001001006,BIGNETINVOLUME,大单净流入量,,,沪深股票
110,110001001006,SMNETINFLOW,(日)小单净流入资金,,,沪深股票
110,110001001006,MIDNETINFLOW,(日)中单净流入资金,,,沪深股票
110,110001001008,PURCHASEWITHBORROWEDMONEYM,融资买入额,,,沪深股票
110,110001001008,REPAYMENTTOBROKERM,融资偿还额,,,沪深股票
110,110001001008,SECLENDINGBALANCEM,融券余额,,,沪深股票
110,110001001008,REPAYMENTOFBORROWEDSECM,融券偿还量,,,沪深股票
110,110001001008,SECLENDINGBALANCEVOLUMEM,融券余量,,,沪深股票
110,110001001008,TRADINGBALANCEM,融资余额,,,沪深股票
110,110001001008,TRADINGANDSECLENDINGBALANCEM,融资融券余额,,,沪深股票
110,110001001008,SALESOFBORROWEDSECM,融券卖出量,,,沪深股票
110,110001001008,TMRATEM,融资余额/流通市值,,,沪深股票
110,110001001008,SMRATEM,融券余额/流通市值,,,沪深股票
110,110001001008,TRADSECLENDBALANCE,融资融券差额,,,沪深股票
110,110001001015,FELLOWTOMOJORHODRATIO,大股东认购比例,,,沪深股票
110,110001001015,FELLOWTOMOJORHODMTHD,大股东认购方式,,,沪深股票
110,110001001015,FELLOWTOMOJORHODVOL,大股东认购数量,,,沪深股票
110,110001001015,PRICERULE,定价规则,,,沪深股票
110,110001001015,PRICERULESF,定价规则(配套融资),,,沪深股票
110,110001001015,FELLOWPLANANNCDATE,预案公告日,,,沪深股票
110,110001001015,FELLOWISSUEOBJ,增发对象,,,沪深股票
110,110001001015,FELLOWISSUEOBJSF,增发对象(配套融资),,,沪深股票
110,110001001015,FELLOWEXPENSE,增发费用,,,沪深股票
110,110001001015,FELLOWEXPENSESF,增发费用(配套融资),,,沪深股票
110,110001001015,FELLOWTOTALSHAREAF,增发后股本,,,沪深股票
110,110001001015,FELLOWPRICE,增发价格,,,沪深股票
110,110001001015,FELLOWPRICESF,增发价格(配套融资),,,沪深股票
110,110001001015,FELLOWPROGRESS,增发进度,,,沪深股票
110,110001001015,FELLOWPROGRESSSF,增发进度(配套融资),,,沪深股票
110,110001001015,FELLOWAIM,增发目的,,,沪深股票
110,110001001015,FELLOWAIMSF,增发目的(配套融资),,,沪深股票
110,110001001015,FELLOWAIMANALYSE,增发目的说明,,,沪深股票
110,110001001015,FELLOWAIMANALYSESF,增发目的说明(配套融资),,,沪深股票
110,110001001015,FELLOWCOLLECTION,增发募集资金,,,沪深股票
110,110001001015,FELLOWCOLLECTIONSF,增发募集资金(配套融资),,,沪深股票
110,110001001015,FELLOWETCOLLECTIONSF,增发募集资金净额(配套融资),,,沪深股票
110,110001001015,FELLOWTOTALSHAREBF,增发前股本,,,沪深股票
110,110001001015,FELLOWLISTEDDATE,增发上市日,,,沪深股票
110,110001001015,FELLOWLISTEDDATESF,增发上市日(配套融资),,,沪深股票
110,110001001015,FELLOWVOL,增发数量,,,沪深股票
110,110001001015,FELLOWVOLSF,增发数量(配套融资),,,沪深股票
110,110001001015,FELLOWMAXPRICE,增发预案价格上限,,,沪深股票
110,110001001015,FELLOWMAXPRICESF,增发预案价格上限(配套融资),,,沪深股票
110,110001001015,FELLOWMINPRICE,增发预案价格下限,,,沪深股票
110,110001001015,FELLOWMINPRICESF,增发预案价格下限(配套融资),,,沪深股票
110,110001001015,FELLOWMAXVOL,增发预案数量上限,,,沪深股票
110,110001001015,FELLOWMAXVOLSF,增发预案数量上限(配套融资),,,沪深股票
110,110001001015,FELLOWMINVOL,增发预案数量下限,,,沪深股票
110,110001001015,FELLOWMINVOLSF,增发预案数量下限(配套融资),,,沪深股票
110,110001001015,FELLOWNETCOLLECTION,增发募集资金净额,,,沪深股票
110,110001001015001,FELLOWRESULTDATE,发行结果公告日,,,沪深股票
110,110001001015001,FELLOWAUDITDATE,发审委审核公告日,,,沪深股票
110,110001001015001,FELLOWISSUEDATE,公开发行日,,,沪深股票
110,110001001015001,FELLOWAGMANNCDATE,股东大会公告日,,,沪深股票
110,110001001015001,FELLOWANNCEDATEONL,上网发行公告日,,,沪深股票
110,110001001015001,FELLOWINSTLISTDATE,向机构投资者增发部分上市日期,,,沪深股票
110,110001001015001,FELLOWORIGINALGEGISTDATE,向老股东配售股权登记日,,,沪深股票
110,110001001015001,FELLOWORIGENALSDATE,向老股东配售缴款日,,,沪深股票
110,110001001015001,FELLOWDATEOFFL,向网下增发日期,,,沪深股票
110,110001001015001,FELLOWEXDIVDATE,增发除权日,,,沪深股票
110,110001001015001,FELLOWANNCDATE,增发公告日,,,沪深股票
110,110001001015001,FELLOWREGISTDATE,增发股权登记日,,,沪深股票
110,110001001015001,FELLOWCRSAPPROVEDDATE,证监会核准公告日,,,沪深股票
110,110001001015002,FELLOWSUBBYDISTR,承销商认购余股,,,沪深股票
110,110001001015002,FELLOWTARGETEDVOL,定向配售数量,,,沪深股票
110,110001001015002,FELLOWPUTVOL,回拨数量,,,沪深股票
110,110001001015002,FELLOWVOLONL,网上发行数量,,,沪深股票
110,110001001015002,FELLOWPCTTOORIGINALHODONL,网上向老股东优先配售比例,,,沪深股票
110,110001001015002,FELLOWVOLTOORIGINALHODONL,网上向老股东优先配售数量,,,沪深股票
110,110001001015002,FELLOWVOLOFFL,网下发行数量,,,沪深股票
110,110001001015002,FELLOWVOLTOORIGINALHODOFFL,网下向老股东优先配售数量,,,沪深股票
110,110001001015002,FELLOWVOLTOTHERPUB,向其他公众投资者配售数量,,,沪深股票
110,110001001015003,FELLOWUNDRTYPE,增发承销方式,,,沪深股票
110,110001001015003,FINANCECONSULTANT,增发独立财务顾问,,,沪深股票
110,110001001015003,FELLOWISSUETYPE,增发发行方式,,,沪深股票
110,110001001015003,FELLOWDISTRIBUTOR,增发分销商,,,沪深股票
110,110001001015003,FELLOWRECOMMENDER,增发上市推荐人,,,沪深股票
110,110001001015003,FELLOWLEADUNDR,增发主承销商,,,沪深股票
