品种,分类,指标代码,指标中文名,单位,参数,适用范围
股票,证券资料,NAME,股票简称,,无参数,沪深股票
股票,证券资料,HISNAME,股票简称(可查历史),,,沪深股票
股票,证券资料,LSNAMEHQ,"股票简称(带标识,可查历史)",,无参数,沪深股票
股票,证券资料,ENGNAME,股票英文简称,,,沪深股票
股票,证券资料,FORMERNAME,股票曾用名,,,沪深股票
股票,证券资料,CODE,股票代码,,无参数,沪深股票
股票,证券资料,EMCODE,东财代码,,无参数,沪深股票
股票,证券资料,ISINCODE,ISIN代码,,无参数,沪深股票
股票,证券资料,SEDOLCODE,SEDOL代码,,无参数,沪深股票
股票,证券资料,CCASSCODE,CCASS股份编码,,无参数,沪深股票
股票,证券资料,STOCKCLASS,股票种类,,无参数,沪深股票
股票,证券资料,LISTDATE,首发上市日,,无参数,沪深股票
股票,证券资料,LISTMKT,上市地点,,无参数,沪深股票
股票,证券资料,STATUS,证券存续状态,-,-,沪深股票
股票,证券资料,ISLISTING,是否上市,,,沪深股票
股票,证券资料,BACKDOOR,是否借壳上市,,,沪深股票
股票,证券资料,BACKDOORDATE,借壳上市日期,,Choice代码,沪深股票
股票,证券资料,DELISTDATE,摘牌日期,,无参数,沪深股票
股票,证券资料,TRADECUR,交易币种,,,沪深股票
股票,证券资料,PARVALUE,股票面值,元,Choice代码,沪深股票
股票,证券资料,DR,已发行DR数量,份,证券代码，交易日期,沪深股票
股票,证券资料,RO,每份DR代表股数,-,证券代码，交易日期,沪深股票
股票,证券资料,STR_CODEH,基础证券代码,,-,沪深股票
股票,证券资料,GDRCODE,同公司GDR代码,-,-,沪深股票
股票,证券资料,GDRNAME,同公司GDR简称,-,-,沪深股票
股票,证券资料,ISSTSTOCK,是否为ST股票,,,沪深股票
股票,证券资料,ISXSTSTOCK,是否为*ST股票,,,沪深股票
股票,证券资料,RISKWARNING,是否属于风险警示板,-,交易日期,沪深股票
股票,证券资料,CAPUNCAPDATE,戴帽摘帽日期,,无参数,沪深股票
股票,证券资料,BLIMPORTINDEXORNOT,是否属于重要指数成份,,所属指数,沪深股票
股票,证券资料,HISBLIMPORTINDEXORNOT,是否属于重要指数成份(可查历史),,"Choice代码,相关指数的Choice代码,交易日期",沪深股票
股票,证券资料,RZRQBIAODI,是否融资融券标的,,交易日期,沪深股票
股票,证券资料,FINPURCHORNOT,是否属于融资标的,,,沪深股票
股票,证券资料,FINSELLORNOT,是否属于融券标的,,,沪深股票
股票,证券资料,STOHSTOCKCONNECTEDORNOT,是否属于沪股通标的,,,沪深股票
股票,证券资料,SHENGUTONGTARGET,是否属于深股通标的,,,沪深股票
