品种,报表名,报表代码CtrName,字段代码,字段中文名
沪深股票,资产负债表,BalanceStatementSHSZ,REPORTDATE,报告日期
沪深股票,资产负债表,BalanceStatementSHSZ,STR_ISLISTINGREPORT,上市前/上市后
沪深股票,资产负债表,BalanceStatementSHSZ,reportType,报表类型
沪深股票,资产负债表,BalanceStatementSHSZ,STR_COMBINETYPE,公司类型
沪深股票,资产负债表,BalanceStatementSHSZ,MONETARYFUND,货币资金(元)
沪深股票,资产负债表,BalanceStatementSHSZ,SETTLEMENTPROVISION,结算备付金(元)
沪深股票,资产负债表,BalanceStatementSHSZ,LENDFUND,拆出资金(元)
沪深股票,资产负债表,BalanceStatementSHSZ,TRADE_FINASSET_NOTFVTPL,交易性金融资产
沪深股票,资产负债表,BalanceStatementSHSZ,MARGINOUTFUND,融出资金(元)
沪深股票,资产负债表,BalanceStatementSHSZ,DERIVEFASSET,衍生金融资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,ACCOUNTBILLREC,应收票据及应收账款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,BILLREC,应收票据(元)
沪深股票,资产负债表,BalanceStatementSHSZ,ACCOUNTREC,应收账款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,FINANCE_RECE,应收款项融资
沪深股票,资产负债表,BalanceStatementSHSZ,ADVANCEPAY,预付款项(元)
沪深股票,资产负债表,BalanceStatementSHSZ,PREMIUMREC,应收保费(元)
沪深股票,资产负债表,BalanceStatementSHSZ,RIREC,应收分保账款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,RICONTACTRESERVEREC,应收分保合同准备金(元)
沪深股票,资产负债表,BalanceStatementSHSZ,TOTAL_OTHER_RECE,其他应收款合计
沪深股票,资产负债表,BalanceStatementSHSZ,INTERESTREC,其中:应收利息(元)
沪深股票,资产负债表,BalanceStatementSHSZ,DIVIDENDREC,其中:应收股利(元)
沪深股票,资产负债表,BalanceStatementSHSZ,OTHERREC,其中:其他应收款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,EXPORTREBATEREC,应收出口退税(元)
沪深股票,资产负债表,BalanceStatementSHSZ,SUBSIDYREC,应收补贴款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,INTERNALREC,内部应收款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,BUYSELLBACKFASSET,买入返售金融资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,AMORCOSTFASSET,以摊余成本计量的金融资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,FVALUECOMPFASSET,以公允价值计量且其变动计入其他综合收益的金融资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,INVENTORY,存货(元)
沪深股票,资产负债表,BalanceStatementSHSZ,CONTRACTASSET,合同资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,CLHELDSALEASS,持有待售资产
沪深股票,资产负债表,BalanceStatementSHSZ,NONLASSETONEYEAR,一年内到期的非流动资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,DLYWZC,代理业务资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,OTHERLASSET,其他流动资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,LASSETOTHER,流动资产其他项目(元)
沪深股票,资产负债表,BalanceStatementSHSZ,LASSETBALANCE,流动资产平衡项目(元)
沪深股票,资产负债表,BalanceStatementSHSZ,SUMLASSET,流动资产合计(元)
沪深股票,资产负债表,BalanceStatementSHSZ,LOANADVANCES,发放委托贷款及垫款(元)
沪深股票,资产负债表,BalanceStatementSHSZ,CREDINV,债权投资(元)
沪深股票,资产负债表,BalanceStatementSHSZ,AMORCOSTFASSETFLD,以摊余成本计量的金融资产(非流动)(元)
沪深股票,资产负债表,BalanceStatementSHSZ,OTHCREDINV,其他债权投资(元)
沪深股票,资产负债表,BalanceStatementSHSZ,FVALUECOMPFASSETFLD,以公允价值计量且其变动计入其他综合收益的金融资产(非流动)(元)
沪深股票,资产负债表,BalanceStatementSHSZ,SALEABLEFASSET,可供出售金融资产(元)
沪深股票,资产负债表,BalanceStatementSHSZ,HELDMATURITYINV,持有至到期投资(元)
沪深股票,资产负债表,BalanceStatementSHSZ,LTREC,长期应收款(元)
