指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
09241,项目简称,ths_project_short_name_bond,,ABS,,
09242,项目全称,ths_project_full_name_bond,,ABS,,
09243,证券层级,ths_sec_level_bond,,ABS,,
09250,发起人/原始权益人,ths_sponsor_to_original_righter_bond,,ABS,原始权益人,
09251,发行人/计划管理人,ths_sponsor_to_plan_manager_bond,,ABS,,
09252,内部增信,ths_internal_credit_enhance_bond,,ABS,,
09253,外部增信,ths_external_credit_enhance_bond,,ABS,,
09254,当前状态,ths_current_status_bond,,ABS,,
09255,还本方式,ths_principal_payment_method_bond,,ABS,,
09256,是否出表,ths_is_out_statement_bond,,ABS,,
09279,项目发行总额,ths_abs_issue_total_amt_bond,元,ABS,,是
09280,发行起始日,ths_abs_issue_sd_bond,,ABS,,
09281,预期到期日,ths_expected_expiry_date_bond,,ABS,,
09305,监管机构,ths_regulate_org_bond,,ABS,,
09306,项目当前余额,ths_current_balance_bond,元,ABS,,是
09307,法定到期日,ths_legel_ed_bond,,ABS,,
09308,交易结构,ths_td_structure_bond,,ABS,,
09309,风险自留,ths_risk_self_retention_bond,,ABS,,
11212,项目代码,ths_project_code_bond,,ABS,,
11633,发行加权期限(年),ths_issue_wgt_term_y_bond,,ABS,,是
12785,证券层级占比,ths_issuance_ratio_bond,%,ABS,,是
12979,发起人/原始权益人地区,ths_abs_province_bond,,ABS,原始权益人,
12980,发起人/原始权益人性质,ths_abs_property_bond,,ABS,原始权益人,
12981,发起人/原始权益人所属同花顺行业,ths_abs_ths_industry_bond,,ABS,原始权益人、行业级别,
12982,发起人/原始权益人所属申万行业,ths_abs_swi_industry_bond,,ABS,原始权益人、行业级别,
12983,发起人/原始权益人新证监会行业,ths_abs_new_csrc_industry_bond,,ABS,原始权益人、行业级别,
12984,发起人/原始权益人国民经济行业,ths_abs_national_eco_industry_bond,,ABS,原始权益人、行业分类,
13024,优先级发行总额,ths_preferred_layer_amt_bond,元,ABS,,是
13025,中间层发行总额,ths_abs_interface_layer_amt_bond,元,ABS,,是
13026,次级发行总额,ths_abs_subprime_layer_amt_bond,元,ABS,,是
15478,差额支付承诺人,ths_b_abs_defiguarantor_bond,,ABS,,
17694,发起人/原始权益人最新主体评级,ths_sponsor_to_original_righter_subject_latest_credit_rating_bond,,ABS,评级机构、评级类别、原始权益人,
17994,信用支持,ths_credit_support_bond,,ABS,,是
12985,承销团成员,ths_abs_creditnormal_bond,,ABS / 参与机构,,
12986,共同债务人,ths_abs_debtor_bond,,ABS / 参与机构,,
12987,受托机构,ths_abs_trustee_bond,,ABS / 参与机构,,
16599,资产服务机构,ths_bond_abs_service_provider_bond,,ABS / 参与机构,,
16600,专项计划托管人,ths_bond_abs_basic_custodian_bond,,ABS / 参与机构,,
19371,流动性支持机构,ths_abs_ldxzcjg_bond,,ABS / 参与机构,,
09257,基础资产类型,ths_basic_assets_type_bond,,ABS / 基础资产,,
09258,资产池未偿本金金额,ths_assetpooloutstandingprincipal_bond,万元,ABS / 基础资产,,是
09259,加权平均合同期限,ths_wgt_avg_contract_term_bond,月,ABS / 基础资产,,是
09260,加权平均剩余期限,ths_wgt_avg_residual_term_bond,月,ABS / 基础资产,,是
09261,加权平均账龄,ths_wgt_avg_account_age_bond,月,ABS / 基础资产,,是
09262,加权平均贷款利率,ths_wgt_avg_loan_interest_bond,%,ABS / 基础资产,,是
09263,资产笔数,ths_assets_num_bond,笔,ABS / 基础资产,,是
09264,借款人户数,ths_borrower_account_num_bond,户,ABS / 基础资产,,是
09265,借款人分布地区数,ths_borrower_district_num_bond,个,ABS / 基础资产,,是
09266,借款人分布行业数,ths_borrower_industry_num_bond,个,ABS / 基础资产,,是
09267,拖欠笔数,ths_default_num_bond,笔,ABS / 基础资产,,是
09268,累计违约率,ths_accum_default_rate_bond,%,ABS / 基础资产,,是
09269,严重拖欠率,ths_serious_default_rate_bond,%,ABS / 基础资产,,是
09323,资产池概况,ths_asset_pool_situation_bond,,ABS / 基础资产,,
11688,基础资产类型明细,ths_basic_asset_type_detail_bond,,ABS / 基础资产,,
16505,基础债务人,ths_underlying_asset_debtor_bond,,ABS / 基础资产,,
09244,优先层占比,ths_preferred_layer_ratio_bond,%,ABS / 层级数据,,是
09245,优先层利率,ths_preferred_layer_interest_bond,%,ABS / 层级数据,,
09246,中间层占比,ths_interface_ratio_bond,%,ABS / 层级数据,,是
09247,中间层利率,ths_interface_interest_bond,%,ABS / 层级数据,,
09248,次级层占比,ths_subprime_layer_ratio_bond,%,ABS / 层级数据,,是
09249,次级层利率,ths_subprime_layer_interest_bond,%,ABS / 层级数据,,
09310,当前每百元面额,ths_denomination_per100yuan_bond,元,ABS / 成交数据,,是
09311,最近成交日期,ths_last_trans_date_bond,,ABS / 成交数据,,
09312,最近成交价格(净价),ths_latesttransprice_bond,元,ABS / 成交数据,,是
09313,最近成交量(手),ths_last_vol_bond,手,ABS / 成交数据,,是
09314,已流通天数,ths_floated_days_bond,天,ABS / 成交数据,,是
09315,成交天数,ths_trans_days_bond,天,ABS / 成交数据,,是
20037,主体评级历史(YY),ths_subject_rating_history_yy_bond,,信用分析 / YY评级,,
20038,债券流动性评级(YY),ths_bond_liquidity_rating_yy_bond,,信用分析 / YY评级,,
04600,债券历史信用评级,ths_bond_his_credict_rating_bond,,信用分析 / 信用评级 / 历史评级,,
04605,主体历史信用评级,ths_subject_his_credit_rating_bond,,信用分析 / 信用评级 / 历史评级,,
09322,担保人历史评级,ths_guarantor_his_rating_bond,,信用分析 / 信用评级 / 历史评级,,
11117,历史中债市场隐含评级(债项),ths_cb_his_mkt_implied_ratting_bond,,信用分析 / 信用评级 / 历史评级,,
32026,主体历史信用评级,ths_fzztlsxydj_g_bond,,信用分析 / 信用评级 / 历史评级,,
32027,担保人历史评级,ths_dbrlspj_g_bond,,信用分析 / 信用评级 / 历史评级,,
33446,主体历史信用评级,ths_fzztlsxydj_gjpj_bond,,信用分析 / 信用评级 / 历史评级,,
06543,发行主体评级,ths_issuer_rating_bond,,信用分析 / 信用评级 / 发行时评级,,
11104,发行时主体评级展望,ths_issue_subject_rating_expect_bond,,信用分析 / 信用评级 / 发行时评级,,
13023,发行时担保人评级,ths_begin_guarantor_rate_bond,,信用分析 / 信用评级 / 发行时评级,评级机构,
33554,发行时担保人评级,ths_begin_guarantor_rate_gjpj_bond,,信用分析 / 信用评级 / 发行时评级,评级机构,
06793,指定日债券评级,ths_specified_date_bond_rating_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
06794,指定日主体评级,ths_specified_date_subject_rating_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11106,指定日债券评级变动方向,ths_sd_bond_rating_chg_direct_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11107,指定日债券评级机构,ths_sd_bond_rating_org_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11108,指定日主体评级变动方向,ths_sd_subject_rating_chg_direct_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11109,指定日主体评级展望,ths_sd_subject_rating_expect_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11110,指定日主体评级机构,ths_sd_subject_rating_org_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11111,指定日担保人评级,ths_specified_date_grnt_rating_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11112,指定日担保人评级变动方向,ths_sd_grnt_rating_chg_direct_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11113,指定日担保人评级展望,ths_sd_grnt_rating_expect_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11114,指定日担保人评级机构,ths_sd_grnt_rating_org_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11115,指定日债券国际评级,ths_sd_bond_international_rating_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
11116,指定日发行人国际评级,ths_sd_issuer_international_rating_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32015,指定日主体评级,ths_zdrztpj_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32016,指定日主体评级变动方向,ths_sd_subject_rating_chg_direct_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32017,指定日主体评级展望,ths_sd_subject_rating_expect_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32018,指定日主体评级机构,ths_sd_subject_rating_org_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32019,指定日担保人评级,ths_specified_date_grnt_rating_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32020,指定日担保人评级变动方向,ths_sd_grnt_rating_chg_direct_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32021,指定日担保人评级展望,ths_sd_grnt_rating_expect_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
32022,指定日担保人评级机构,ths_sd_grnt_rating_org_g_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33451,指定日债券评级,ths_zdrzqpj_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33452,指定日主体评级,ths_zdrztpj_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33543,指定日债券评级变动方向,ths_sd_bond_rating_chg_direct_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33544,指定日债券评级机构,ths_sd_bond_rating_org_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33545,指定日主体评级变动方向,ths_sd_subject_rating_chg_direct_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33546,指定日主体评级展望,ths_sd_subject_rating_expect_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33547,指定日主体评级机构,ths_sd_subject_rating_org_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33548,指定日担保人评级,ths_specified_date_grnt_rating_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33549,指定日担保人评级变动方向,ths_sd_grnt_rating_chg_direct_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33550,指定日担保人评级展望,ths_sd_grnt_rating_expect_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33551,指定日担保人评级机构,ths_sd_grnt_rating_org_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33552,指定日债券国际评级,ths_sd_bond_international_rating_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
33553,指定日发行人国际评级,ths_sd_issuer_international_rating_gjpj_bond,,信用分析 / 信用评级 / 指定评级,评级机构,
04596,债券最新评级日期,ths_bond_latest_rating_date_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04597,债券最新信用评级,ths_bond_latest_credict_rating_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04598,债券评级类型,ths_bond_rating_type_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04599,债券评级机构,ths_bond_rating_org_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04601,主体最新评级日期,ths_subject_latest_rating_date_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04602,最新最低主体评级,ths_subject_latest_credit_rating_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04603,主体评级类型,ths_subject_rating_type_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
04604,主体评级机构,ths_subject_rating_org_bond,,信用分析 / 信用评级 / 最新评级,,
06792,主体评级展望,ths_subject_rating_fore_bond,,信用分析 / 信用评级 / 最新评级,评级机构、评级类别,
07147,债券最新评级（指定机构）,ths_bond_latest_special_org_rating_bond,,信用分析 / 信用评级 / 最新评级,债券最新特定机构评级,
08394,主体最新评级（指定机构）,ths_subject_specific_org_lr_bond,,信用分析 / 信用评级 / 最新评级,主体最新特定机构评级、评级类别,
09283,中债市场隐含评级(债项),ths_cb_market_implicit_rating_bond,,信用分析 / 信用评级 / 最新评级,,
09284,债券最新评级变动方向,ths_bond_latest_rating_chg_drctn_bond,,信用分析 / 信用评级 / 最新评级,评级机构,
09285,主体最新评级变动方向,ths_subject_lr_chg_direction_bond,,信用分析 / 信用评级 / 最新评级,评级机构,
09318,担保人最新评级,ths_guarantor_latest_rating_bond,,信用分析 / 信用评级 / 最新评级,,
09319,担保人最新评级日期,ths_guarantor_latest_rating_date_bond,,信用分析 / 信用评级 / 最新评级,,
09320,担保人最新评级变动方向,ths_guarantor_latest_rating_cd_bond,,信用分析 / 信用评级 / 最新评级,,
09321,担保人评级机构,ths_guarantor_rating_org_bond,,信用分析 / 信用评级 / 最新评级,,
11105,担保人评级展望,ths_grnt_rating_expect_bond,,信用分析 / 信用评级 / 最新评级,,
