指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
50012,法律顾问,ths_legal_counsel_company,,企业基本资料 / 中介机构,,
50056,资产评估机构,ths_asset_evaluate_org_company,,企业基本资料 / 中介机构,,
50067,审计机构,ths_audit_office_company,,企业基本资料 / 中介机构,,
50041,是否上市公司,ths_is_lc_company,,企业基本资料 / 企业标签,,
50065,上市公司（银行）类型,ths_info_banktype_company,,企业基本资料 / 企业标签,,
50094,是否城投(THS),ths_is_city_invest_debt_ifind_company,,企业基本资料 / 企业标签,,
50095,城投行政级别(THS),ths_city_invest_level_company,,企业基本资料 / 企业标签,,
51344,是否城投(YY),ths_is_city_invest_debt_yy_company,,企业基本资料 / 企业标签,,
55624,城投所属区域,ths_urban_platform_area_company,,企业基本资料 / 企业标签,,
55625,城投行政级别(YY),ths_city_invest_level_yy_company,,企业基本资料 / 企业标签,,
56564,是否高新技术企业,ths_high_tech_cert_company,,企业基本资料 / 企业标签,,
55574,是否被执行人,ths_sfbzxr_company,,企业基本资料 / 司法事项 / 被执行人信息,,
55580,首次纳入被执行人时间,ths_scnrbzxrsj_company,,企业基本资料 / 司法事项 / 被执行人信息,,
55581,最近一次纳入被执行人时间,ths_zjycnrbzxrsj_company,,企业基本资料 / 司法事项 / 被执行人信息,,
55582,最近一次纳入被执行人执行金额,ths_zjycnrbzxrzxje_company,元,企业基本资料 / 司法事项 / 被执行人信息,,是
55583,历史是否纳入被执行人,ths_lssfnrbzxr_company,,企业基本资料 / 司法事项 / 被执行人信息,,
55584,历史纳入被执行人次数合计,ths_lsnrbzxrcshj_company,,企业基本资料 / 司法事项 / 被执行人信息,,是
55600,历史执行金额合计,ths_lszxje_company,元,企业基本资料 / 司法事项 / 被执行人信息,,是
50000,办公地址,ths_office_address_company,,企业基本资料 / 工商信息,,
50001,成立日期,ths_established_date_company,,企业基本资料 / 工商信息,,
50002,传真,ths_corp_fax_company,,企业基本资料 / 工商信息,,
50009,电子邮件,ths_corp_email_company,,企业基本资料 / 工商信息,,
50011,法定代表人,ths_legal_representative_company,,企业基本资料 / 工商信息,,
50014,工商登记号,ths_business_reg_num_company,,企业基本资料 / 工商信息,,
50016,公司电话,ths_corp_tel_company,,企业基本资料 / 工商信息,,
50018,公司简介,ths_corp_profile_company,,企业基本资料 / 工商信息,,
50024,经营范围,ths_operating_scope_company,,企业基本资料 / 工商信息,,
50030,企业规模,ths_company_sacle_company,,企业基本资料 / 工商信息,,
50033,企业英文名称,ths_corp_name_en_company,,企业基本资料 / 工商信息,,
50034,企业中文简称,ths_issuer_short_name_cn_company,,企业基本资料 / 工商信息,,
50035,企业中文名称,ths_corp_cn_name_company,,企业基本资料 / 工商信息,,
50042,统一社会信用代码,ths_unified_social_credit_code_company,,企业基本资料 / 工商信息,,
50047,邮政编码,ths_zip_code_company,,企业基本资料 / 工商信息,,
50053,注册地址,ths_reg_address_company,,企业基本资料 / 工商信息,,
