指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
33090,是否披露ESG报告,is_disclosure_esg,,ESG / ESG报告,年度,
17596,同花顺ESG评级,ths_esg_rate_stock,,ESG / 同花顺ESG评级,,
17597,同花顺ESG总评分,ths_esg_score_stock,,ESG / 同花顺ESG评级,,是
17602,ESG争议事件得分,ths_esg_score_dispute_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17603,ESG环境争议得分,ths_esg_score_dispute_environ_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17604,ESG社会争议得分,ths_esg_score_dispute_social_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17605,ESG治理争议得分,ths_esg_score_dispute_govern_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17598,ESG管理实践总得分,ths_esg_score_management_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17599,ESG环境管理得分,ths_esg_score_management_environ_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17600,ESG社会管理得分,ths_esg_score_management_social_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17601,ESG治理管理得分,ths_esg_score_management_govern_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17822,华证ESG评级,hz_esg,,ESG / 第三方评级,截至日期,
31120,市净率PB(最新),pb_latest,,估值指标,基准日,是
31121,市净率PB(MRQ),pb_mrq,,估值指标,,是
31122,市净率分位数,pb_quantile,,估值指标,起始交易日期、截止交易日期,
31123,市现率PCF(经营现金流LYR),pcf_operate_cash_flow_lyr,,估值指标,,是
31124,市现率PCF(经营现金流TTM),pcf_operate_cash_flow_ttm,,估值指标,TTM基准日,是
31125,市现率PCF(现金净流量LYR),pcf_cash_net_flow_lyr,,估值指标,,是
31126,市现率PCF(现金净流量TTM),pcf_cash_net_flow_ttm,,估值指标,TTM基准日,是
31127,市现率分位数,pcf_quantile,,估值指标,起始交易日期、截止交易日期,
31128,股息率(报告期),dividend_rate_rp,%,估值指标,年度,是
31129,股息率(近12个月),dividend_rate_12m,%,估值指标,,是
31280,市盈率PE(LYR),pe_lyr,,估值指标,,是
31281,市盈率PE(TTM),pe_ttm,,估值指标,TTM基准日,是
31282,市盈率分位数(TTM),pe_quantile_ttm,,估值指标,起始交易日期、截止交易日期,
31283,市销率PS(LYR),ps_lyr,,估值指标,,是
31284,市销率PS(TTM),ps_ttm,,估值指标,TTM基准日,是
31285,市销率分位数(TTM),ps_quantile_ttm,,估值指标,起始交易日期、截止交易日期,
31288,区间最高PE(TTM),high_pe_ttm_int,,估值指标,起始交易日期、截止交易日期、TTM基准日,
31289,区间最低PE(TTM),low_pe_ttm_int,,估值指标,起始交易日期、截止交易日期、TTM基准日,
31290,区间最高PS(TTM),high_ps_ttm_int,,估值指标,起始交易日期、截止交易日期、TTM基准日,
31291,区间最低PS(TTM),low_ps_ttm_int,,估值指标,起始交易日期、截止交易日期、TTM基准日,
32525,市盈率PE,pe_multiple_markets,,估值指标,财务数据匹配规则,是
32527,加权市盈率(PE、TTM),pe_wgt_ttm,,估值指标,TTM基准日,是
33052,加权市盈率(PE),pg_wgt,,估值指标,年度,是
33115,市现率PCF(TTM)分位数,pcf_ttm_quantile,,估值指标,起始交易日期、截止交易日期,
33396,市现率PCF(经营现金流),pcf_operating_cf,,估值指标,财政年度、报告期类型,是
33397,市现率PCF(现金净流量),pcf_ncf,,估值指标,财政年度、报告期类型,是
33398,历史PEG值,his_peg,,估值指标,财政年度、增长率（G值）匹配方法,是
33565,区间平均PE(LYR),interval_average_pe_lyr,,估值指标,起始交易日期、截止交易日期,
33601,"股息率(TTM,包含特别分红)",dividend_yield_ttm,%,估值指标,,是
33602,股息率(TTM),dividend_yield_ttm_ex_sd,%,估值指标,,是
31130,市净率(PB),pb,,估值指标 / 不可回测估值,财务数据匹配规则,是
31286,市盈率(PE),pe,,估值指标 / 不可回测估值,财务数据匹配规则,是
31287,市销率(PS),ps,,估值指标 / 不可回测估值,财务数据匹配规则,是
31114,总市值,market_value,元,估值指标 / 企业价值,货币币种,是
31115,总市值（总股本算）,mv_by_total_shares,元,估值指标 / 企业价值,货币币种,是
31116,流通市值,current_mv,元,估值指标 / 企业价值,货币币种,是
31117,企业价值（含货币资金）（EV1）,ev1,元,估值指标 / 企业价值,货币币种,是
31118,企业价值（剔除货币资金）（EV2）,ev2,元,估值指标 / 企业价值,货币币种,是
31119,企业倍数（EV2/EBITDA）,ev2_to_ebitda,,估值指标 / 企业价值,,是
32419,企业倍数(EV1/EBITDA),ev1_to_ebitda,,估值指标 / 企业价值,,是
32793,总市值(面向证券),mv_sec_oriented,,估值指标 / 企业价值,货币币种,是
32794,股权价值,rights_value,,估值指标 / 企业价值,货币币种,是
33852,EV/Sales,ev_to_sales_ratio,,估值指标 / 企业价值,,是
30993,经营活动产生的现金流量净额(TTM),ncf_of_oa_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
30996,现金及现金等价物净增加额(TTM),net_increase_in_cce_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31081,营业总收入(TTM),total_operating_revenue_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31083,营业收入(TTM),operating_revenue_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31097,归属母公司股东的净利润(TTM),np_atsopc_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31276,每股收益(TTM),eps_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31277,每股营业收入(TTM),oips_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31278,每股经营活动产生的现金流量净额(TTM),oa_cf_net_amt_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31279,每股现金流量净额(TTM),net_cf_ps_ttm,元,估值指标 / 估值财务指标,货币币种、TTM基准日,是
31131,预测PB,fore_pb,,估值指标 / 预测估值,年度,是
31292,预测PE,fore_pe,,估值指标 / 预测估值,年度,是
31293,"预测市盈率(PE,未来12个月)",fore_pe_in_12m,,估值指标 / 预测估值,,是
31294,"预测市盈率(PE,最新预测)",fore_pe_latest,,估值指标 / 预测估值,年度,
31295,预测PEG,fore_peg,,估值指标 / 预测估值,年度,是
32792,预测PS,fore_ps,,估值指标 / 预测估值,年度,是
32768,事项类型,event_type,,供股及公开招股,年度,
32769,每股配股比例,allot_ps_ratio,%,供股及公开招股,年度,
32770,配股价格,allot_price,元,供股及公开招股,年度,
32771,实际配股数量,actual_allot_num,,供股及公开招股,年度,
32772,招股章程公告日,offering_prospectus_ad,,供股及公开招股,年度,
32773,发售结果公告日,distribution_result_ad,,供股及公开招股,年度,
32774,发售股份派送日期,dstrbt_date_of_shares,,供股及公开招股,年度,
32775,新增股份上市日期,add_share_listing_date,,供股及公开招股,年度,
33108,方案说明,offering_plan_explain,,供股及公开招股,年度,
33109,最新公告日期,offering_latest_ad,,供股及公开招股,年度,
33110,除净日,offering_exdate,,供股及公开招股,年度,
33111,截止过户日期起始日,offering_transfer_deadline_sd,,供股及公开招股,年度,
33112,截止过户日期截止日,offering_transfer_deadline_ed,,供股及公开招股,年度,
33113,货币种类,offering_currency_ctgry,,供股及公开招股,年度,
32766,回购数量,repur_amt_new,,公司回购,起始交易日期、截止交易日期,
