指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
32255,是否披露ESG报告,ths_is_disclosure_esg_hk,,ESG / ESG报告,年度,
17822,华证ESG评级,ths_hz_esg_hk,,ESG / 第三方评级,截至日期,
11567,连涨天数,ths_up_days_hk,天,技术形态 / 走势特征,,是
11568,连跌天数,ths_down_days_hk,天,技术形态 / 走势特征,,是
11569,创历史新高,ths_his_high_hk,,技术形态 / 走势特征,近N天内、复权方式,
11570,创历史新低,ths_his_low_hk,,技术形态 / 走势特征,近N天内、复权方式,
11571,创阶段历史新高,ths_phase_high_his_hk,,技术形态 / 走势特征,近N天内、创N天以来新高、复权方式,
11572,创阶段历史新低,ths_phase_low_his_hk,,技术形态 / 走势特征,近N天内、创N天以来新低、复权方式,
03144,VSTD成交量标准差,ths_vstd_hks,,技术指标 / 成交量指标,周期、计算周期,是
05156,VMA量简单移动平均,ths_vma_hks,,技术指标 / 成交量指标,周期、计算周期,是
05151,CR能量指标,ths_cr_hks,,技术指标 / 能量指标,周期、复权方式、计算周期,是
03099,BBI多空指数,ths_bbi_hks,,技术指标 / 趋向指标,周期1、周期2、周期3、周期4、复权方式、计算周期,是
05145,MA简单移动平均,ths_ma_hks,,技术指标 / 趋向指标,周期、复权方式、计算周期,是
11848,互联互通持股量,ths_interconnection_held_vol_hk,股,沪深港通,,是
12159,纳入日期,ths_inclusion_date_hk,,沪深港通 / 向南交易标的资料,交易类型,
12165,剔除日期,ths_eliminate_date_hk,,沪深港通 / 向南交易标的资料,交易类型,
12160,买入金额,ths_buy_amt_hk,元,沪深港通 / 成交活跃股,交易类型、货币币种,是
12161,卖出金额,ths_sell_amt_hk,元,沪深港通 / 成交活跃股,交易类型、货币币种,是
12162,成交金额,ths_trans_amt_hk,元,沪深港通 / 成交活跃股,交易类型、货币币种,是
12181,原始币种,ths_td_currency_hk,,沪深港通 / 成交活跃股,交易类型,
06719,"市盈率(PE,TTM)",ths_pe_ttm_hks,,港股估值分析,TTM基准日,是
06723,"市现率(PCF,经营现金流TTM)",ths_pcf_operating_cf_ttm_hks,,港股估值分析,TTM基准日,是
06725,"市现率(PCF,现金净流量TTM)",ths_pcf_ncf_ttm_hks,,港股估值分析,TTM基准日,是
06727,"市销率(PS,TTM)",ths_ps_ttm_hks,,港股估值分析,TTM基准日,是
06728,总市值(面向证券),ths_totalcapitalforsecurities_hk,元,港股估值分析,货币币种,是
06905,市盈率(PE),ths_pe_hks,,港股估值分析,财政年度、报告期类型,是
06906,历史PEG值,ths_his_peg_hks,,港股估值分析,财政年度、增长率（G值）匹配方法,是
06907,市净率(PB),ths_pb_hks,,港股估值分析,财政年度、报告期类型,是
06908,"市现率(PCF,经营现金流)",ths_pcf_operating_cf_hks,,港股估值分析,财政年度、报告期类型,是
06909,"市现率(PCF,现金净流量)",ths_pcf_ncf_hks,,港股估值分析,财政年度、报告期类型,是
06910,市销率(PS),ths_ps_hks,,港股估值分析,财政年度、报告期类型,是
08970,总市值,ths_market_value_hks,元,港股估值分析,货币币种,是
09273,股息率,ths_dividend_rate_hks,%,港股估值分析,年度,是
10450,预测市盈率(PE，历史预测),ths_fore_pe_his_hks,,港股估值分析,年度,是
10451,预测市盈率(PE，最新预测),ths_fore_pe_latest_hks,,港股估值分析,年度,
10453,预测PEG值,ths_fore_peg_hks,,港股估值分析,年度,是
10454,预测PB,ths_fore_pb_hks,,港股估值分析,年度,是
11805,总市值(总股本算),ths_mv_by_total_shares_hk,元,港股估值分析,货币币种,是
12108,流通市值,ths_current_mv_hks,元,港股估值分析,货币币种,是
12109,股权价值,ths_rights_value_hks,元,港股估值分析,货币币种,是
12110,企业价值(含货币资金)(EV1),ths_ev1_hks,元,港股估值分析,货币币种,是
12111,企业价值(不含货币资金)(EV2),ths_ev2_hks,元,港股估值分析,货币币种,是
12112,企业倍数,ths_ev2_to_ebitda_hks,,港股估值分析,,是
16510,"市净率(PB,最新)",ths_pb_latest_hks,,港股估值分析,基准日,是
16760,"市净率(PB,MRQ)",ths_pb_mrq_hks,,港股估值分析,,是
16820,"市盈率(PE,LYR)",ths_pe_lyr_hks,,港股估值分析,,是
16826,"市销率(PS,LYR)",ths_ps_lyr_hks,,港股估值分析,,是
16947,预测PS,ths_fore_ps_hks,,港股估值分析,年度,是
17943,"市盈率(PE,TTM)分位数",ths_pe_ttm_quantile_hks,,港股估值分析,起始交易日期、截止交易日期,
17944,"市净率(PB,MRQ)分位数",ths_pb_mrq_quantile_hks,,港股估值分析,起始交易日期、截止交易日期,
17945,"市销率(PS,TTM)分位数",ths_ps_ttm_quantile_hks,,港股估值分析,起始交易日期、截止交易日期,
17946,"市现率(PCF,TTM)分位数",ths_pcf_ttm_quantile_hks,,港股估值分析,起始交易日期、截止交易日期,
19559,股息率_近12个月,ths_dividendyield_12m_hk,%,港股估值分析,,是
06828,首次公告日,ths_offering_first_ad_hks,,港股供股及公开招股,年度,
06829,事项类型,ths_event_type_hks,,港股供股及公开招股,年度,
06831,方案说明,ths_offering_plan_explain_hks,,港股供股及公开招股,年度,
06832,每股配股比例,ths_allot_ps_ratio_hks,股,港股供股及公开招股,年度,
06833,配股价格,ths_allot_price_hks,元,港股供股及公开招股,年度,
06834,实际配股数量,ths_actual_allot_num_hks,股,港股供股及公开招股,年度,
06835,招股章程公告日,ths_offering_prospectus_ad_hks,,港股供股及公开招股,年度,
06836,最新公告日期,ths_offering_latest_ad_hks,,港股供股及公开招股,年度,
06837,除净日,ths_offering_exdate_hks,,港股供股及公开招股,年度,
06838,截止过户日期起始日,ths_offering_transfer_deadline_sd_hks,,港股供股及公开招股,年度,
06839,截止过户日期截止日,ths_offering_transfer_deadline_ed_hks,,港股供股及公开招股,年度,
06840,发售结果公告日,ths_distribution_result_ad_hks,,港股供股及公开招股,年度,
06841,发售股份派送日期,ths_dstrbt_date_of_shares_hks,,港股供股及公开招股,年度,
06842,新增股份上市日期,ths_add_share_listing_date_hks,,港股供股及公开招股,年度,
06843,货币种类,ths_offering_currency_ctgry_hks,,港股供股及公开招股,年度,
12210,回购数量,ths_repur_num_new_hks,,港股公司回购,起始交易日期、截止交易日期,
12211,回购金额,ths_repur_amt_new_hks,元,港股公司回购,起始交易日期、截止交易日期,
12212,最高价,ths_high_price_new_hks,,港股公司回购,起始交易日期、截止交易日期,
12213,最低价,ths_low_new_hks,,港股公司回购,起始交易日期、截止交易日期,
06844,首次公告日,ths_dividend_first_ad_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06849,方案说明,ths_dividend_plan_explain_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06850,股利类型,ths_dividend_type_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06851,每股派息比例,ths_dividend_ps_ratio_hks,元,港股分红指标,财政年度、是否特别分红、报告期类型,是
06852,每股红股比例,ths_bonus_shares_ps_ratio_hks,股,港股分红指标,财政年度、是否特别分红、报告期类型,是
06853,每股实物证券派送比例,ths_share_of_physical_sec_ps_ratio_hks,股/份,港股分红指标,财政年度、是否特别分红、报告期类型,是
06854,最新公告日期,ths_dividend_latest_ad_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06855,除净日,ths_dividend_exdate_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06856,截止过户日期起始日,ths_dividend_transfer_deadline_sd_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06857,截止过户日期截止日,ths_dividend_transfer_deadline_ed_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06858,派息日期,ths_dividend_date_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06859,红股派送日期,ths_bonus_share_delivery_date_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06860,红股上市日期,ths_bonus_share_listing_date_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06861,实物证券派送日期,ths_physical_sec_delivery_date_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06862,实物证券上市日期,ths_physical_sec_listing_date_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06863,是否可以股代息,ths_is_share_for_interest_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06864,代息价,ths_scrip_dividend_price_hks,元,港股分红指标,财政年度、是否特别分红、报告期类型,是
06865,代息价说明,ths_scrip_dividend_price_explain_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06866,最低持股数,ths_low_held_num_hks,股,港股分红指标,财政年度、是否特别分红、报告期类型,是
06867,选择截止日期,ths_choice_ed_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
06868,货币种类,ths_dividend_currency_ctgry_hks,,港股分红指标,财政年度、是否特别分红、报告期类型,
12355,每股派息,ths_dividend_ps_hk,,港股分红指标,年度、货币币种、年度分红基准日,
16828,股利收益率,ths_devidend_yield_hks,%,港股分红指标,财政年度、是否特别分红、报告期类型,
17695,现金分红比例,ths_cash_dividend_ratio_hk,%,港股分红指标,财政年度、是否特别分红、报告期类型,
19554,现金股利支付率,ths_cash_dividend_payout_ratio_hks,%,港股分红指标,财政年度、是否特别分红、报表类型,
32288,年度累计分红总额,ths_accum_total_divd_year_hk,,港股分红指标,年度、货币币种,是
32928,年度累计分红总额,ths_new_accum_total_divd_year_hk,,港股分红指标,财政年度、是否特别分红、货币币种,
06869,首次公告日,ths_merge_and_split_first_ad_hks,,港股合并拆细,年度,
06871,方案说明,ths_merge_and_split_plan_explain_hks,,港股合并拆细,年度,
06872,每股合并拆细比例,ths_merge_and_split_ps_ratio_hks,%,港股合并拆细,年度,
06873,最新公告日期,ths_merge_and_split_latest_ad_hks,,港股合并拆细,年度,
06874,除净日,ths_merge_and_split_exdate_hks,,港股合并拆细,年度,
06875,换领股票起始日,ths_stock_redemp_sd_hks,,港股合并拆细,年度,
06876,换领股票截止日,ths_stock_redemp_ed_hks,,港股合并拆细,年度,
06877,股份变更生效日期,ths_share_chg_valid_date_hks,,港股合并拆细,年度,
00431,公司中文名称,ths_corp_cn_name_hks,,港股基本资料 / 港股公司资料,,
00432,公司英文名称,ths_corp_name_en_hks,,港股基本资料 / 港股公司资料,,
00433,成立日期,ths_established_date_hks,,港股基本资料 / 港股公司资料,,
00444,所属申万行业,ths_the_sw_industry_hks,,港股基本资料 / 港股公司资料,行业级别,
00451,公司电话,ths_corp_tel_hks,,港股基本资料 / 港股公司资料,,
00452,公司传真,ths_corp_fax_hks,,港股基本资料 / 港股公司资料,,
00453,公司电子邮件地址,ths_corp_email_hks,,港股基本资料 / 港股公司资料,,
00454,公司网站,ths_corp_website_hks,,港股基本资料 / 港股公司资料,,
00455,董事会秘书,ths_secretary_hks,,港股基本资料 / 港股公司资料,,
00456,公司独立董事(现任),ths_independent_director_his_hks,,港股基本资料 / 港股公司资料,,
00457,公司独立董事(历任),ths_independent_director_current_hks,,港股基本资料 / 港股公司资料,,
04428,总经理,ths_general_manager_hks,,港股基本资料 / 港股公司资料,,
05074,所属申万行业代码,ths_the_sw_industry_code_hks,,港股基本资料 / 港股公司资料,行业级别,
