指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
11020,历史PEG,ths_his_peg_index,,估值指标,增长率(G值)匹配方法,是
12991,区间最高市盈率（PE，TTM）,ths_interval_high_pe_ttm_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
12992,区间最低市盈率（PE，TTM）,ths_interval_low_pe_ttm_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
16457,市盈率（PE，TTM）中位数,ths_pe_ttm_median_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
16831,总市值,ths_market_value_hb_index,元,估值指标,,是
16832,A股市值,ths_ashare_mv_hb_index,元,估值指标,,是
16833,总市值-证监会算法,ths_mv_csrc_alg_hb_index,元,估值指标,,是
16834,流通A股市值,ths_float_ashare_mv_hb_index,元,估值指标,,是
16835,流通B股市值,ths_float_bshare_mv_hb_index,元,估值指标,,是
16836,流通市值,ths_current_mv_hb_index,元,估值指标,,是
16837,流通市值占比,ths_flaot_mv_ratio_hb_index,%,估值指标,,是
16970,市现率（PCF）分位数,ths_pcf_quantile_index,%,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
16971,市销率（PS）分位数,ths_ps_quantile_index,%,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
16972,股息率分位数,ths_dividend_rate_quantile_index,%,估值指标,起始交易日期、截止交易日期,
17092,市净率（PB）中位数,ths_pb_median_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
17145,区间最高市净率（PB）,ths_interval_high_pb_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
17146,区间最低市净率（PB）,ths_interval_low_pb_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
17178,市销率（PS）,ths_ps_index,,估值指标,财务数据匹配规则、剔除规则,是
17179,市现率（PCF）,ths_pcf_index,,估值指标,财务数据匹配规则、剔除规则,是
17412,市盈率（PE）,ths_pe_index,,估值指标,财务数据匹配规则、剔除规则,是
17413,股息率,ths_dividend_rate_index,,估值指标,,是
17473,市净率（PB）,ths_pb_index,,估值指标,财务数据匹配规则、剔除规则,是
17491,自由流通市值,ths_free_flaot_mv_index,元,估值指标,,是
17683,预测市盈率（PE，预测）,ths_fore_pe_index,,估值指标,年度、剔除规则,是
17785,发布方市盈率（PE，TTM）,ths_publish_pe_ttm_index,,估值指标,,是
17786,发布方市盈率（PE）,ths_publish_pe_index,,估值指标,,是
17787,发布方市净率（PB）,ths_publish_pb_index,,估值指标,,是
17788,发布方股息率（调整股本）,ths_pub_dividend_rate_asc_index,,估值指标,,是
17789,发布方股息率（总股本）,ths_pub_dividend_rate_tsc_index,,估值指标,,是
19360,市现率（PCF，TTM）,ths_pcf_ttm_cache_index,,估值指标,剔除规则、TTM基准日,是
19361,市销率（PS，TTM）,ths_ps_ttm_cache_index,,估值指标,剔除规则、TTM基准日,是
19362,历史PEG,ths_his_peg_cache_index,,估值指标,增长率(G值)匹配方法,是
19383,市净率（PB，LF）,ths_pb_latest_index,,估值指标,剔除规则,是
19384,区间平均市盈率（PE，TTM）,ths_avg_pe_ttm_int_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
19385,区间平均市净率（PB）,ths_avg_pb_int_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
19393,区间最高市销率（PS，TTM）,ths_high_ps_ttm_int_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
19394,区间最低市销率（PS，TTM）,ths_low_ps_ttm_int_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
19395,区间平均市销率（PS，TTM）,ths_avg_ps_ttm_int_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
19490,A股市值（不含限售股）,ths_ashare_mv_barring_ls_index,元,估值指标,,是
19499,市盈率（PE，TTM）中位数-成份,ths_pe_ttm_median_component_index,,估值指标,,
19500,市净率（PB，MRQ）中位数-成份,ths_pb_mrq_median_component_index,,估值指标,,是
19632,区间最高市净率（PB）,ths_interval_high_pb_sr_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
19633,区间最低市净率（PB）,ths_interval_low_pb_sr_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
19634,区间平均市净率（PB）,ths_avg_pb_int_sr_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
19635,市净率（PB）分位数,ths_pb_quantile_sr_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
19636,市净率（PB）中位数,ths_pb_median_sr_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
19809,市盈率（PE，TTM）,ths_pe_ttm_sr_index,,估值指标,剔除规则、TTM基准日,是
19929,市盈率（PE，TTM）分位数,ths_pettm_quantile_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,
20058,市盈率（PE）分位数,ths_pe_quantile_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
20059,风险溢价分位数,ths_risk_premium_quantile_index,,估值指标,起始交易日期、截止交易日期,
20079,风险溢价,ths_risk_premium_new_index,,估值指标,,是
654055,市盈率（PE）,ths_pe_index,,估值指标,财务数据匹配规则、剔除规则,
654082,预测市盈率（PE，预测）,ths_fore_pe_index,,估值指标,年度、剔除规则,
654095,市净率（PB）,ths_pb_index,,估值指标,财务数据匹配规则、剔除规则,是
654103,市现率（PCF）,ths_pcf_index,,估值指标,财务数据匹配规则、剔除规则,
654111,市销率（PS）,ths_ps_index,,估值指标,财务数据匹配规则、剔除规则,
654119,总市值,ths_market_value_index,元,估值指标,,
654123,总市值-证监会算法,ths_mv_csrc_alg_index,元,估值指标,,
654127,流通A股市值,ths_float_ashare_mv_index,元,估值指标,,
654131,流通B股市值,ths_float_bshare_mv_index,元,估值指标,,
657670,滚动市盈率（中证发布）,ths_auto_pe_csi_block,%,估值指标,,
657671,市净率（中证发布）,ths_pb_csi_release_block,%,估值指标,,
658632,流通市值,ths_current_mv_index,元,估值指标,,
658634,流通市值占比,ths_flaot_mv_ratio_index,%,估值指标,,
680510,股息率,ths_dividend_rate_index,,估值指标,,
680762,市盈率（PE，TTM）,ths_pe_ttm_index,,估值指标,剔除规则、TTM基准日,是
680766,预测PEG,ths_fore_peg_index,,估值指标,年度,是
680767,市盈率（PE，TTM）分位数,ths_pe_ttm_quantile_index,,估值指标,起始交易日期、截止交易日期、剔除规则、TTM基准日,是
680768,市净率（PB）分位数,ths_pb_quantile_index,,估值指标,起始交易日期、截止交易日期、财务数据匹配规则、剔除规则,
680769,市现率（PCF，TTM）,ths_pcf_ttm_index,,估值指标,剔除规则、TTM基准日,
680774,A股市值,ths_ashare_mv_index,元,估值指标,,
680794,市销率（PS，TTM）,ths_ps_ttm_index,,估值指标,剔除规则、TTM基准日,
681152,市值集中度,ths_market_value_concentration_index,,估值指标,,
681176,风险溢价,ths_risk_premium_index,,估值指标,,
12166,到期收益率,ths_ytm_index,,债券指数指标,,是
12167,久期,ths_dur_index,,债券指数指标,,是
12168,修正久期,ths_modified_dur_index,,债券指数指标,,是
12169,凸性,ths_convexity_index,,债券指数指标,,是
12170,剩余期限（年）,ths_remain_duration_y_index,,债券指数指标,,是
17839,指数值（中债）,ths_close_index_cb_index,,债券指数指标,,是
