指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
08686,Delta,ths_delta_option,,期权分析指标,,是
08687,Theta,ths_theta_option,,期权分析指标,,是
08688,Gamma,ths_gamma_option,,期权分析指标,,是
08689,Vega,ths_vega_option,,期权分析指标,,是
08690,Rho,ths_rho_option,,期权分析指标,,是
09654,隐含波动率,ths_implied_volatility_option,,期权分析指标,,是
11530,理论价格,ths_theroy_price_option,,期权分析指标,有效期、无风险利率、波动率,是
13061,标的历史波动率,ths_anal_volatility_underlying_option,%,期权分析指标,计算天数、年化系数,是
16482,Theta年化,ths_theta_year_option,,期权分析指标,,是
16483,Vega百分化,ths_vega_percentage_option,,期权分析指标,,是
16484,Rho百分化,ths_rho_percentage_option,,期权分析指标,,是
16984,Delta（交易所）,ths_delta_exchg_option,,期权分析指标,,是
16985,Theta（交易所）,ths_theta_exchg_option,,期权分析指标,,是
16986,Gamma（交易所）,ths_gamma_exchg_option,,期权分析指标,,是
16987,Vega（交易所）,ths_vega_exchg_option,,期权分析指标,,是
16988,Rho（交易所）,ths_rho_exchg_option,,期权分析指标,,是
19923,认购期权偏度值,ths_call_skew_option,,期权分析指标,合约月份、调整状态,是
19925,认沽期权偏度值,ths_put_skew_option,,期权分析指标,合约月份、调整状态,是
00427,上市日期,ths_listed_date_option,,期权合约基础指标,,
07276,合约类型,ths_contract_type_option,,期权合约基础指标,,
07278,到期月份,ths_maturity_month_option,,期权合约基础指标,,
07279,挂牌基准价,ths_listing_benchmark_price_option,元,期权合约基础指标,,是
07280,交易单位数量,ths_td_unit_unit_option,,期权合约基础指标,,是
07281,行权价格,ths_strike_price_option,元,期权合约基础指标,,是
07282,到期日,ths_maturity_date_option,,期权合约基础指标,,
08685,保证金比例,ths_deposit_ratio_option,%,期权合约基础指标,,是
09649,剩余交易日,ths_surplus_duration_td_option,,期权合约基础指标,边界选项,是
09650,剩余自然日,ths_surplus_duration_calendar_option,,期权合约基础指标,边界选项,是
09651,总存续期,ths_total_duration_option,,期权合约基础指标,,是
09652,起始行权日期,ths_strike_sd_option,,期权合约基础指标,,
09653,最后行权日期,ths_last_strike_date_option,,期权合约基础指标,,
11521,交易保证金,ths_trade_deposit_option,,期权合约基础指标,,是
13237,总交易天数,ths_total_td_duration_option,,期权合约基础指标,,是
13238,在市天数,ths_finished_duration_option,,期权合约基础指标,边界选项,是
13239,在市交易天数,ths_finished_td_duration_option,,期权合约基础指标,边界选项,是
17774,最新交易日,ths_latest_td_date_option,,期权合约基础指标,,
32010,剩余交易日,ths_remain_trade_days,,期权合约基础指标,边界选项,是
12329,同月成交量认沽认购比率,ths_option_month_volume_pcr_option,%,期权同月统计,,是
12330,同月持仓量认沽认购比率,ths_option_month_oi_pcr_option,%,期权同月统计,,是
13361,同月成交量,ths_option_month_volume_option,,期权同月统计,,是
13362,同月持仓量,ths_option_month_oi_option,,期权同月统计,,是
13363,同月成交额,ths_option_month_amount_option,,期权同月统计,,是
13364,同月认购成交量,ths_option_month_call_volume_option,,期权同月统计,,是
13365,同月认沽成交量,ths_option_month_put_volume_option,,期权同月统计,,是
13366,同月认购持仓量,ths_option_month_call_oi_option,,期权同月统计,,是
13367,同月认沽持仓量,ths_option_month_put_oi_option,,期权同月统计,,是
13368,同月认购成交额,ths_option_month_call_amount_option,,期权同月统计,,是
13369,同月认沽成交额,ths_option_month_put_amount_option,,期权同月统计,,是
13370,同月成交额认沽认购比率,ths_option_month_amount_pcr_option,%,期权同月统计,,是
13384,同月持仓市值,ths_option_month_oi_amount_option,万元,期权同月统计,,是
13385,同月持仓保证金,ths_option_month_deposit_option,万元,期权同月统计,,是
12320,品种成交量,ths_option_total_volume_option,,期权品种统计,,是
12321,品种成交额,ths_option_total_amount_option,,期权品种统计,,是
12322,品种持仓量,ths_option_total_oi_option,,期权品种统计,,是
12323,认沽成交量,ths_option_put_volume_option,,期权品种统计,,是
12324,认沽持仓量,ths_option_put_oi_option,,期权品种统计,,是
12325,认购成交量,ths_option_call_volume_option,,期权品种统计,,是
12326,认购持仓量,ths_option_call_oi_option,,期权品种统计,,是
12327,成交量认沽认购比率,ths_option_total_volume_pcr_option,%,期权品种统计,,是
12328,持仓量认沽认购比率,ths_option_total_oi_pcr_option,%,期权品种统计,,是
13358,认购成交额,ths_option_call_amount_option,,期权品种统计,,是
13359,认沽成交额,ths_option_put_amount_option,,期权品种统计,,是
13360,成交额认沽认购比率,ths_option_total_amount_pcr_option,%,期权品种统计,,是
13386,品种持仓市值,ths_option_total_oi_amount_option,万元,期权品种统计,,是
13387,品种持仓保证金,ths_option_total_deposit_option,万元,期权品种统计,,是
07258,品种代码,ths_variety_code_option,,期权基础资料,,
07259,合约标的,ths_contract_underlying_option,,期权基础资料,,
07261,行权方式,ths_strike_method_option,,期权基础资料,,
07262,交易单位,ths_td_unit_option,,期权基础资料,,
07263,报价单位,ths_pricing_unit_option,,期权基础资料,,
07264,最小变动单位,ths_mini_chg_unit_option,,期权基础资料,,是
07265,涨跌停板幅度说明,ths_daily_price_fluctuation_limit_option,,期权基础资料,,
07266,合约月份说明,ths_contract_month_option,,期权基础资料,,
