指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
09147,现货简称,ths_spot_short_name_spot,,基础资料,,
09148,现货代码,ths_spot_code_spot,,基础资料,,
09149,证券类型,ths_sec_type_spot,,基础资料,,
09150,交易品种,ths_td_variety_spot,,基础资料,,
09151,交割实物标的,ths_delivery_real_underlying_spot,,基础资料,,
09152,交易单位,ths_td_unit_spot,,基础资料,,
09153,报价单位,ths_pricing_unit_spot,,基础资料,,
09154,最小变动价位,ths_mini_chg_price_spot,,基础资料,,是
09155,报价点差,ths_pricing_spread_spot,,基础资料,,
09156,上市日期,ths_listed_date_spot,,基础资料,,
09157,终止上市日期,ths_stop_listing_date_spot,,基础资料,,
09158,交易市场,ths_td_mkt_spot,,基础资料,,
09159,交易保证金,ths_td_deposit_spot,,基础资料,,
09160,交易手续费率,ths_td_expense_spot,,基础资料,,
09161,当前延期费率,ths_current_delay_rate_spot,,基础资料,,
09162,提货费,ths_pick_up_charge_spot,,基础资料,,
09163,单笔最大交易限额,ths_single_max_trade_limit_spot,,基础资料,,
09164,最大持仓限额,ths_max_position_limit_spot,,基础资料,,
09165,交收滞纳金收取方式,ths_dlf_collect_method_spot,,基础资料,,
09166,客户交易手续费收取方式,ths_trans_fee_collection_method_spot,,基础资料,,
09167,最小交收单位,ths_mini_intersection_unit_spot,,基础资料,,
09168,交收宽限期,ths_delivery_term_spot,,基础资料,,
09169,交收履约保证金比例,ths_delivery_perf_bond_ratio_spot,,基础资料,,
09170,交收申请时间,ths_delivery_apply_time_spot,,基础资料,,
09171,交易时间说明,ths_td_time_explain_spot,,基础资料,,
09172,结算休市时间说明,ths_settle_close_time_explain_spot,,基础资料,,
17774,最新交易日,ths_latest_td_date_spot,,基础资料,,
33749,创历史新高,ths_his_high_spot,,技术形态 / 走势特征,近N天内,
33750,创历史新低,ths_his_low_spot,,技术形态 / 走势特征,近N天内,
33751,创阶段新高,ths_phase_high_spot,,技术形态 / 走势特征,近N天内、创N天以来新高,
33752,创阶段新低,ths_phase_low_spot,,技术形态 / 走势特征,近N天内、创N天以来新高,
33753,近期创历史新高成交额,ths_his_high_amt_spot,,技术形态 / 走势特征,近N天内,
33754,近期创历史新高成交量,ths_his_high_vol_spot,,技术形态 / 走势特征,近N天内,
33746,MA简单移动平均,ths_ma_spot,,技术指标 / 趋向指标,天数、计算周期,是
33747,MACD指数平滑异同平均,ths_macd_spot,,技术指标 / 趋向指标,长期天数、短期天数、天数、MCAD指标选项、计算周期,是
09559,区间开盘价,ths_open_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09560,区间最高价,ths_high_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09561,区间最低价,ths_low_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09562,区间收盘价,ths_close_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09563,区间结算价,ths_settle_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09564,区间最高收盘价,ths_high_close_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09565,区间最低收盘价,ths_low_close_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09566,区间最高结算价,ths_high_settle_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09567,区间最低结算价,ths_low_settle_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09568,区间前收盘价,ths_pre_close_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09569,区间前结算价,ths_pre_settle_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09570,区间成交均价,ths_avg_price_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09571,区间涨跌,ths_chg_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09572,区间涨跌(结算价),ths_chg_settle_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09573,区间涨跌幅,ths_int_chg_ratio_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09574,区间涨跌幅(结算价),ths_chg_ratio_settle_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09575,区间振幅,ths_swing_int_spot,%,行情指标 / 区间行情,起始交易日期、截止交易日期,
09576,区间持仓变化,ths_oi_chg_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09577,区间成交量,ths_vol_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09578,区间成交额,ths_amt_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09579,区间持仓量,ths_position_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09580,区间日均成交量,ths_daily_avg_vol_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09581,区间日均成交额,ths_daily_avg_amt_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09582,区间日均持仓量,ths_daily_avg_position_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09583,区间最高收盘价日,ths_high_close_date_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09584,区间最低收盘价日,ths_low_close_date_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09585,区间最高结算价日,ths_high_settle_date_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
09586,区间最低结算价日,ths_low_settle_date_int_spot,,行情指标 / 区间行情,起始交易日期、截止交易日期,
33748,最新价较区间最高价跌幅(回撤),ths_int_chg_ratio_high_spot,‰,行情指标 / 区间行情,起始交易日期、截止交易日期,
09447,周开盘价,ths_open_w_spot,,行情指标 / 周行情,,是
09448,周最高价,ths_high_w_spot,,行情指标 / 周行情,,是
09449,周最低价,ths_low_w_spot,,行情指标 / 周行情,,是
