指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
17821,是否披露ESG报告,ths_is_disclosure_seg_stock,,ESG / ESG报告,年度,
17596,同花顺ESG评级,ths_esg_rate_stock,,ESG / 同花顺ESG评级,,
17597,同花顺ESG总评分,ths_esg_score_stock,,ESG / 同花顺ESG评级,,是
17602,ESG争议事件得分,ths_esg_score_dispute_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17603,ESG环境争议得分,ths_esg_score_dispute_environ_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17604,ESG社会争议得分,ths_esg_score_dispute_social_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17605,ESG治理争议得分,ths_esg_score_dispute_govern_stock,,ESG / 同花顺ESG评级 / ESG争议事件,截至日期,是
17598,ESG管理实践总得分,ths_esg_score_management_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17599,ESG环境管理得分,ths_esg_score_management_environ_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17600,ESG社会管理得分,ths_esg_score_management_social_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
17601,ESG治理管理得分,ths_esg_score_management_govern_stock,,ESG / 同花顺ESG评级 / ESG管理实践,,是
19858,直接(范围1)温室气体排放强度,ths_direct_scope1_gge_intensity_stock,,ESG / 碳排放数据,,是
19859,能源间接(范围2)温室气体排放强度,ths_energyind_scope2_gge_intensity_stock,,ESG / 碳排放数据,,是
19860,温室气体排放强度(范围1和范围2),ths_gge_intensity_scope1_or_2_stock,,ESG / 碳排放数据,,是
19861,其他间接(范围3)温室气体排放强度,ths_otherind_scope3_gge_intensity_stock,,ESG / 碳排放数据,,是
19862,直接(范围1)温室气体排放量,ths_direct_scope1_gge_stock,,ESG / 碳排放数据,,是
19863,间接(范围2)温室气体排放量,ths_indirect_scope2_gge_stock,,ESG / 碳排放数据,,是
19864,温室气体(范围1和范围2)排放量,ths_gge_scope1_or_2_stock,,ESG / 碳排放数据,,是
19865,其他间接(范围3)温室气体排放量,ths_indirect_scope3_gge_stock,,ESG / 碳排放数据,,是
17822,华证ESG评级,ths_hz_esg_stock,,ESG / 第三方评级,截至日期,
17823,华证碳中和ESG评级,ths_hz_carbon_neutral_esg_stock,,ESG / 第三方评级,截至日期,
17824,商道融绿ESG评级,ths_sdrl_esg_stock,,ESG / 第三方评级,截至日期,
17825,中诚信ESG评级,ths_zcx_esg_stock,,ESG / 第三方评级,截至日期,
17826,秩鼎ESG评级,ths_zdesg_stock,,ESG / 第三方评级,截至日期,
08103,做市商数量,ths_mm_num_stock,,三板特有指标,,是
08104,做市商明细,ths_mm_detail_stock,,三板特有指标,,
08486,转让方式,ths_transfer_mode_stock,,三板特有指标,,
08968,做市起始时间,ths_mkt_make_sd_stock,,三板特有指标,,
08979,主办券商,ths_master_broker_stock,,三板特有指标,,
09276,解除主办券商,ths_liftingsponsor_stock,,三板特有指标,,
10535,挂牌园区,ths_listing_park_stock,,三板特有指标,,
10536,所属分层,ths_the_layer_stock,,三板特有指标,,
10539,所属挂牌公司投资型行业名称,ths_the_listed_corp_ii_name_stock,,三板特有指标,行业级别,
10540,所属挂牌公司投资型行业代码,ths_the_listed_corp_ii_code_stock,,三板特有指标,行业级别,
10541,所属挂牌公司管理型行业名称,ths_the_listed_corp_mi_name_stock,,三板特有指标,行业级别,
10542,所属挂牌公司管理型行业代码,ths_the_listed_corp_mi_code_stock,,三板特有指标,行业级别,
11523,是否挂牌,ths_is_on_board_stock,,三板特有指标,,
16293,挂牌公告日,ths_list_announcement_date_stock,,三板特有指标,,
16295,挂牌企业上市辅导券商,ths_list_company_securities_stock,,三板特有指标,,
16296,挂牌日,ths_list_date_stock,,三板特有指标,,
16297,交易类型,ths_td_type_stock,,三板特有指标,,
16298,做市首日,ths_mm_first_day_stock,,三板特有指标,,
00585,"市净率(PB,最新)",ths_pb_latest_stock,,估值指标,基准日,是
00601,股息率(股票获利率),ths_dividend_rate_stock_stock,%,估值指标,年度,是
04357,"市盈率(PE,TTM)",ths_pe_ttm_stock,,估值指标,TTM基准日,是
04358,"市现率(PCF,经营现金流TTM)",ths_pcf_operating_cash_flow_ttm_stock,,估值指标,TTM基准日,是
04359,"市现率(PCF,现金净流量TTM)",ths_pcf_cash_net_flow_ttm_stock,,估值指标,TTM基准日,是
04360,"市销率(PS,TTM)",ths_ps_ttm_stock,,估值指标,TTM基准日,是
05761,静态市盈率(中证发布),ths_static_pe_csi_stock,%,估值指标,,是
05967,滚动市盈率(中证发布),ths_auto_pe_csi_stock,%,估值指标,,是
05968,市净率(中证发布),ths_pb_csi_release_stock,%,估值指标,,是
09197,股息率_近12个月,ths_dividend_rate_12m_stock,%,估值指标,,是
10543,市盈率(PE，扣除非经常性损益TTM),ths_pe_deduct_nrgal_ttm_stock,,估值指标,TTM基准日,是
11615,市盈率（PE，LYR）,ths_pe_lyr_stock,,估值指标,,是
11616,市盈率（PE，MRQ）,ths_pe_mrq_stock,,估值指标,,是
11617,PEG值（LYR）,ths_peg_lyr_stock,,估值指标,,是
11618,市净率（PB，MRQ）,ths_pb_mrq_stock,,估值指标,,是
11619,市现率（经营现金流，LYR）,ths_pcf_operate_cash_flow_lyr_stock,,估值指标,,是
11620,市现率（现金净流量，LYR）,ths_pcf_cash_net_flow_lyr_stock,,估值指标,,是
11621,市销率（PS，LYR）,ths_ps_lyr_stock,,估值指标,,是
11622,市销率（PS，MRQ）,ths_ps_mrq_stock,,估值指标,,是
11623,市研率（PRR，LYR）,ths_prr_lyr_stock,,估值指标,,是
12288,区间最高PE(TTM),ths_high_pe_ttm_int_stock,,估值指标,起始交易日期、截止交易日期、TTM基准日,
12289,区间最低PE(TTM),ths_low_pe_ttm_int_stock,,估值指标,起始交易日期、截止交易日期、TTM基准日,
12290,区间最高PB(最新),ths_high_pb_latest_int_stock,,估值指标,起始交易日期、截止交易日期、基准日,
12291,区间最低PB(最新),ths_low_pb_latest_int_stock,,估值指标,起始交易日期、截止交易日期、基准日,
13382,PER(LYR),ths_per_lyr_stock,,估值指标,,是
15229,"市盈率(PE,TTM)分位数",ths_pe_ttm_quantile_stock,,估值指标,起始交易日期、截止交易日期,
15230,"市净率(PB,MRQ)分位数",ths_pb_mrq_quantile_stock,,估值指标,起始交易日期、截止交易日期,
15231,"市销率(PS,TTM)分位数",ths_ps_ttm_quantile_stock,,估值指标,起始交易日期、截止交易日期,
15232,"市现率(PCF,TTM)分位数",ths_pcf_ttm_quantile_stock,,估值指标,起始交易日期、截止交易日期,
16629,区间平均PE（TTM）,ths_avg_pe_ttm_int_stock,,估值指标,起始交易日期、截止交易日期、TTM基准日,
16630,区间平均PB（最新）,ths_avg_pb_latest_int_stock,,估值指标,起始交易日期、截止交易日期、基准日,
16631,区间最高PS（TTM）,ths_high_ps_ttm_int_stock,,估值指标,起始交易日期、截止交易日期、TTM基准日,
16632,区间最低PS（TTM）,ths_low_ps_ttm_int_stock,,估值指标,起始交易日期、截止交易日期、TTM基准日,
16633,区间平均PS（LYR）,ths_avg_ps_lyr_int_stock,,估值指标,起始交易日期、截止交易日期,
16634,区间平均PS（TTM）,ths_avg_ps_ttm_int_stock,,估值指标,起始交易日期、截止交易日期、TTM基准日,
17913,"市盈率(PE,TTM)分位数",ths_pe_ttm_quantile_fast_stock,,估值指标,起始交易日期、截止交易日期,
17914,"市净率(PB,MRQ)分位数",ths_pb_mrq_quantile_fast_stock,,估值指标,起始交易日期、截止交易日期,
17915,"市销率(PS,TTM)分位数",ths_ps_ttm_quantile_fast_stock,,估值指标,起始交易日期、截止交易日期,
17916,"市现率(PCF,TTM)分位数",ths_pcf_ttm_quantile_fast_stock,,估值指标,起始交易日期、截止交易日期,
33601,"股息率(TTM,包含特别分红)",ths_dividend_yield_ttm_stock,%,估值指标,,是
33602,股息率(TTM),ths_dividend_yield_ttm_ex_sd_stock,%,估值指标,,是
00577,市盈率(PE),ths_pe_stock,,估值指标 / 不可回测估值,财务数据匹配规则,是
00582,历史PEG值,ths_his_peg_stock,,估值指标 / 不可回测估值,增长率(G值)匹配方法,是
00584,市净率(PB),ths_pb_stock,,估值指标 / 不可回测估值,财务数据匹配规则,是
00586,"市现率(PCF,经营现金流)",ths_pcf_operating_cash_flow_stock,,估值指标 / 不可回测估值,财务数据匹配规则,是
00587,"市现率(PCF,现金净流量)",ths_pcf_cash_net_flow_stock,,估值指标 / 不可回测估值,财务数据匹配规则,是
00588,市销率(PS),ths_ps_stock,,估值指标 / 不可回测估值,财务数据匹配规则,是
33733,限售股估值,ths_restricted_shares_valuation_stock,元,估值指标 / 中债估值,限售期,是
33734,流动性折扣,ths_liquidity_discount_stock,%,估值指标 / 中债估值,限售期,是
00589,总市值,ths_market_value_stock,元,估值指标 / 企业价值,,是
00590,总市值(证监会算法),ths_mv_csrc_alg_stock,元,估值指标 / 企业价值,,是
00591,A股市值(含限售股),ths_ashare_mv_include_ls_stock,元,估值指标 / 企业价值,,是
00592,A股市值(不含限售股),ths_ashare_mv_barring_ls_stock,元,估值指标 / 企业价值,,是
00593,"B股市值(含限售股,交易币种)",ths_bshare_mv_with_limit_tc_stock,元,估值指标 / 企业价值,,是
00594,"B股市值(含限售股,折人民币)",ths_bshare_mv_with_limit_rmb_stock,元,估值指标 / 企业价值,,是
00595,"B股市值(不含限售股,交易币种)",ths_bshare_mv_without_limit_tc_stock,元,估值指标 / 企业价值,,是
00596,"B股市值(不含限售股,折人民币)",ths_bshare_mv_without_limit_rmb_stock,元,估值指标 / 企业价值,,是
00597,股权价值,ths_rights_value_stock,元,估值指标 / 企业价值,,是
00598,企业价值(含货币资金)(EV1),ths_ev1_stock,元,估值指标 / 企业价值,,是
00599,企业价值(剔除货币资金)(EV2),ths_ev2_stock,元,估值指标 / 企业价值,,是
00600,企业倍数(EV2/EBITDA),ths_ev2_to_ebitda_stock,,估值指标 / 企业价值,,是
06245,总市值(面向证券),ths_mv_sec_oriented_stock,元,估值指标 / 企业价值,,是
06373,流通市值,ths_current_mv_stock,元,估值指标 / 企业价值,,是
11613,总市值（可回测）,ths_mv_back_test_stock,元,估值指标 / 企业价值,,是
11614,总市值（总股本算）,ths_mv_by_total_shares_stock,元,估值指标 / 企业价值,,是
11656,自由流通市值,ths_free_float_mv_stock,元,估值指标 / 企业价值,,是
32419,企业倍数(EV1/EBITDA),ths_ev1_to_ebitda_stock,,估值指标 / 企业价值,,是
33852,EV/Sales,ev_to_sales_ratio,,估值指标 / 企业价值,,是
00579,"预测市盈率(PE,历史预测)",ths_fore_pe_his_stock,,估值指标 / 预测估值,年度,是
00580,"预测市盈率(PE,最新预测)",ths_fore_pe_latest_stock,,估值指标 / 预测估值,年度,
00581,"预测市盈率(PE,未来12个月)",ths_fore_pe_in_12m_stock,,估值指标 / 预测估值,,是
00583,预测PEG值,ths_fore_peg_stock,,估值指标 / 预测估值,年度,是
11678,预测市盈率（PE，FY1）,ths_fore_pe_fy1_stock,,估值指标 / 预测估值,,是
11679,预测市盈率（PE，FY2）,ths_fore_pe_fy2_stock,,估值指标 / 预测估值,,是
11680,预测市盈率（PE，FY3）,ths_fore_pe_fy3_stock,,估值指标 / 预测估值,,是
11681,预测PEG（FY1）,ths_fore_peg_fy1_stock,,估值指标 / 预测估值,,是
11682,预测PEG（FY2）,ths_fore_peg_fy2_stock,,估值指标 / 预测估值,,是
11683,预测PEG（未来12个月）,ths_fore_peg_in_12m_stock,,估值指标 / 预测估值,,是
13144,预测PB,ths_fore_pb_stock,,估值指标 / 预测估值,年度,是
13145,预测PB(FY1),ths_fore_pb_fy1_stock,,估值指标 / 预测估值,,是
13146,预测PB(FY2),ths_fore_pb_fy2_stock,,估值指标 / 预测估值,,是
13147,预测PB(FY3),ths_fore_pb_fy3_stock,,估值指标 / 预测估值,,是
13383,股权激励目标净利润,ths_equity_incntv_np_stock,元,估值指标 / 预测估值,年度,
02869,每股分红送转,ths_dividend_ps_stock,元,分红指标,,是
02870,每股股利(税前),ths_dividend_ps_before_tax_stock,元,分红指标,,是
02871,每股股利(税后),ths_dividend_ps_after_tax_stock,元,分红指标,,是
02872,每股红股,ths_bonus_shares_ps_stock,股,分红指标,,是
02873,每股转增股本,ths_conversion_increase_shareps_stock,股,分红指标,,是
02874,年度累计单位分红,ths_accum_unit_dividend_y_stock,元,分红指标,年度,
02875,年度累计分红总额（包含特别分红）,ths_accum_total_dividend_y_stock,元,分红指标,年度,
04395,三年累计分红占比(再融资条件),ths_accum_dividend_ratio_in3y_stock,%,分红指标,年度,
06370,分红比例,ths_dividend_ratio_stock,%,分红指标,,是
06766,分红基准股本,ths_dividend_benchmark_shares_stock,万股,分红指标,,是
06767,现金分红比例,ths_cash_dividend_ratio_stock,%,分红指标,,是
07144,股利收益率,ths_dividend_income_rate_stock,%,分红指标,,是
12197,年度累计分红总额（多市场合并，包含特别分红）,ths_accum_total_dividend_y_merge_stock,元,分红指标,年度,
12225,区间每股股利（税前）,ths_dividend_ps_before_tax_int_stock,元,分红指标,起始交易日期、截止交易日期、日期判断基准,
12226,区间每股股利（税后）,ths_dividend_ps_after_tax_int_stock,元,分红指标,起始交易日期、截止交易日期、日期判断基准,
12670,上市以来分红率,ths_dividend_rate_from_ipo_stock,%,分红指标,,是
16238,年度现金分红次数,ths_annual_cash_dividend_num_stock,次,分红指标,年度,
16239,区间现金分红总额,ths_unit_total_cash_dividend_stock,元,分红指标,起始交易日期、截止交易日期、币种,
17912,最新分红报告期,ths_latest_dividend_rp_stock,,分红指标,,
19526,年度分红比例,ths_annual_dividend_ratio_stock,%,分红指标,年度、报表类型,
19566,年度累计分红总额,ths_accum_dividend_y_exspe_stock,元,分红指标,年度,
19567,年度累计分红总额（多市场合并）,ths_accum_dividend_y_merge_exspe_stock,元,分红指标,年度,
19720,年度累计分红总额（已宣告）,ths_annual_accum_divid_ann_stock,元,分红指标,年度,
19721,年度累计分红总额（已宣告，含回购）,ths_annual_accum_divid_ann_inclu_stock,元,分红指标,年度,
19722,近三年累计分红总额（已宣告，含回购）,ths_accum_divid_3y_ann_inclu_stock,元,分红指标,,是
19723,近三年累计分红占比（已宣告，含回购）,ths_accum_divid_perc_3y_ann_inclu_stock,%,分红指标,,是
32933,每股股利（税前，包含特别分红）,ths_dividend_ps_before_tax_inspe_stock,元,分红指标,,是
02876,股权登记日,ths_dividend_equity_rd_stock,,分红指标 / 分红日期明细,,
02877,B股最后交易日,ths_bshare_last_trading_date_stock,,分红指标 / 分红日期明细,,
02878,B股股权登记日,ths_dividend_bshare_equity_rd_stock,,分红指标 / 分红日期明细,,
02879,除权除息日,ths_ex_dividend_date_stock,,分红指标 / 分红日期明细,,
02880,派息日,ths_interest_paid_date_stock,,分红指标 / 分红日期明细,,
02881,红股上市交易日,ths_listed_td_of_bonus_shares_stock,,分红指标 / 分红日期明细,,
02882,预案公告日,ths_dividend_plan_ad_stock,,分红指标 / 分红日期明细,,
02883,股东大会公告日,ths_dividend_sgm_ad_stock,,分红指标 / 分红日期明细,,
02884,分红实施公告日,ths_dividend_implement_ad_stock,,分红指标 / 分红日期明细,,
11524,预披露公告日,ths_pre_disclosure_date_stock,,分红指标 / 分红日期明细,,
02885,分红方案进度,ths_dividend_progress_stock,,分红指标 / 分红进度,,
02886,分红对象,ths_dividend_object_stock,,分红指标 / 分红进度,,
02887,分红标志(是/否),ths_dividend_sign_stock,,分红指标 / 分红进度,,
11196,存量债券余额(按期限),ths_stock_bond_balance_term_stock,,发债主体,期限类型,是
13291,主体最新信用评级,ths_subject_latest_cr_stock,,发债主体,,
13292,主体最新信用评级展望,ths_subject_latest_cr_except_stock,,发债主体,,
13293,主体最新信用评级日期,ths_subject_latest_date_stock,,发债主体,,
13294,主体最新信用评级变动方向,ths_subject_latest_cr_chg_direct_stock,,发债主体,,
13295,主体最新信用评级评级类型,ths_subject_latest_cr_type_stock,,发债主体,,
13296,主体最新最低信用评级,ths_subject_latest_lower_cr_stock,,发债主体,,
13297,主体信用评级,ths_subject_cr_stock,,发债主体,评级机构,
13298,主体信用评级展望,ths_subject_cr_expect_stock,,发债主体,评级机构,
13299,主体信用评级变动方向,ths_subject_cr_chg_direct_stock,,发债主体,评级机构,
13300,主体信用评级评级机构,ths_subject_cr_org_stock,,发债主体,评级机构,
13352,最新授信额度,ths_latest_credit_line_stock,亿元,发债主体,,是
13353,最新已使用授信额度,ths_latest_unused_credit_line_stock,亿元,发债主体,,是
13354,最新未使用授信额度,ths_latest_used_credit_line_stock,亿元,发债主体,,是
13355,历史已使用授信额度,ths_his_used_credit_amt_stock,亿元,发债主体,,是
13356,历史授信额度,ths_his_credit_amt_stock,亿元,发债主体,,是
13357,最新授信日期,ths_latest_credit_day_stock,,发债主体,,
13371,存量债券余额,ths_stock_bond_balance_stock,亿元,发债主体,债券类型,是
13373,区间发行债券总额,ths_int_issue_bond_amt_stock,万元,发债主体,起始交易日期、截止交易日期、债券类型,
13374,区间发行债券数目,ths_int_issue_bong_num_stock,只,发债主体,起始交易日期、截止交易日期、债券类型,
13375,存量债券数目,ths_stock_bond_num_stock,只,发债主体,债券类型,是
33555,主体信用评级,ths_subject_cr_gjpj_stock,,发债主体,评级机构,
33556,主体信用评级展望,ths_subject_cr_expect_gjpj_stock,,发债主体,评级机构,
33557,主体信用评级变动方向,ths_subject_cr_chg_direct_gjpj_stock,,发债主体,评级机构,
33558,主体信用评级评级机构,ths_subject_cr_org_gjpj_stock,,发债主体,评级机构,
03043,未到期的可转债代码,ths_undue_cb_code_stock,,可转债发行,,
03044,未到期的可转债简称,ths_undue_cb_short_name_stock,,可转债发行,,
03045,未到期的可转债总量,ths_undue_cb_total_vol_stock,张,可转债发行,,是
03046,年度可转债发行量,ths_cb_issue_vol_y_stock,张,可转债发行,年度,
05168,未到期的可转债转股价格,ths_undue_cb_conversion_price_stock,,可转债发行,,
13269,可转债简称,ths_cb_short_name_stock,,可转债发行,,
13270,可转债代码,ths_cb_code_stock,,可转债发行,,
13271,可转债面值,ths_cb_par_value_stock,元,可转债发行,,
13272,可转债发行期限,ths_cb_issue_term_stock,年,可转债发行,,
13273,可转债发行价格,ths_cb_issue_price_stock,元,可转债发行,,
13274,可转债发行总额,ths_cb_issue_total_amt_stock,元,可转债发行,,是
13275,可转债起息日期,ths_cb_interest_begin_date_stock,,可转债发行,,
13276,可转债到期日期,ths_cb_expired_date_stock,,可转债发行,,
13277,可转债利率类型,ths_cb_interest_type_stock,,可转债发行,,
13278,可转债发行利率,ths_cb_issue_interest_stock,%,可转债发行,,
13279,可转债年付息次数,ths_cb_interest_paid_times_y_stock,,可转债发行,,
13280,可转债发行信用评级,ths_cb_issue_credit_rating_stock,,可转债发行,,
13281,可转债发审委审批通过日期,ths_cb_iec_passed_ad_stock,,可转债发行,,
13282,可转债发行公告日,ths_cb_issue_ad_stock,,可转债发行,,
13283,可转债老股东配售股权登记日,ths_cb_old_holder_allot_equity_rd_stock,,可转债发行,,
13284,可转债老股东配售日期,ths_cb_old_holder_allot_date_stock,,可转债发行,,
13285,可转债老股东配售缴款日,ths_cb_old_holder_pay_date_stock,,可转债发行,,
13286,可转债网上发行日期,ths_cb_online_issue_date_stock,,可转债发行,,
13287,可转债发行结果公告日,ths_cb_issue_result_ad_stock,,可转债发行,,
16220,可转债受理日,ths_accept_date_of_conver_bond_stock,,可转债发行,,
16693,博士人数,ths_doctor_num_new_stock,,基本资料 / 人员构成,,是
16694,生产人员人数,ths_production_staff_num_new_stock,,基本资料 / 人员构成,,是
16695,销售人员人数,ths_sales_staff_num_new_stock,,基本资料 / 人员构成,,是
16696,财务人员人数,ths_financial_num_new_stock,,基本资料 / 人员构成,,是
16697,技术人员人数,ths_tech_num_new_stock,,基本资料 / 人员构成,,是
16698,行政人员人数,ths_executive_staff_num_new_stock,,基本资料 / 人员构成,,是
16699,其它专业人员人数,ths_other_marjor_num_new_stock,,基本资料 / 人员构成,,是
16700,硕士人数,ths_postgraduate_num_new_stock,,基本资料 / 人员构成,,是
16701,本科生人数,ths_undergraduate_num_new_stock,,基本资料 / 人员构成,,是
16702,专科生人数,ths_junior_college_num_new_stock,,基本资料 / 人员构成,,是
16703,高中及以下学历人数,ths_high_school_num_new_stock,,基本资料 / 人员构成,,是
16704,其他学历人数,ths_other_edu_num_new_stock,,基本资料 / 人员构成,,是
