指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
07516,CIK编码,ths_cik_gbs,,英股基本资料 / 英股公司资料,,
07614,会计年节日,ths_accounting_date_gbs,,英股基本资料 / 英股公司资料,,
11987,公司简称,ths_corp_short_name_gbs,,英股基本资料 / 英股公司资料,,
11988,公司名称,ths_corp_name_gbs,,英股基本资料 / 英股公司资料,,
11991,成立日期,ths_listed_date_gbs,,英股基本资料 / 英股公司资料,,
11992,所属ICB行业,ths_icb_industry_gbs,,英股基本资料 / 英股公司资料,,
11993,员工总数,ths_staff_num_gbs,,英股基本资料 / 英股公司资料,,是
11994,办公地址,ths_office_address_gbs,,英股基本资料 / 英股公司资料,,
11995,公司电话,ths_corp_tel_gbs,,英股基本资料 / 英股公司资料,,
11996,公司传真,ths_corp_fax_gbs,,英股基本资料 / 英股公司资料,,
11997,公司网站,ths_corp_website_gbs,,英股基本资料 / 英股公司资料,,
05784,股票代码,ths_stock_code_gbs,,英股基本资料 / 英股证券资料,,
07513,股票简称,ths_stock_short_name_gbs,,英股基本资料 / 英股证券资料,,
07515,同花顺代码,ths_thsdm_gbs,,英股基本资料 / 英股证券资料,,
07517,股票种类,ths_stock_varieties_gbs,,英股基本资料 / 英股证券资料,,
07518,首发上市日期,ths_ipo_date_gbs,,英股基本资料 / 英股证券资料,,
07519,交易市场,ths_td_mkt_gbs,,英股基本资料 / 英股证券资料,,
07520,上市板块,ths_listing_plate_gbs,,英股基本资料 / 英股证券资料,,
07521,上市地点,ths_listed_exchange_gbs,,英股基本资料 / 英股证券资料,,
07522,终止上市日期,ths_stop_listing_date_gbs,,英股基本资料 / 英股证券资料,,
07523,所属概念,ths_the_concept_gbs,,英股基本资料 / 英股证券资料,,
09933,ISIN编码,ths_isin_encode_gbs,,英股基本资料 / 英股证券资料,,
11986,是否属于重要指数成分(富时100指数）,ths_is_important_index_constituent_gbs,,英股基本资料 / 英股证券资料,,
07636,预托证券（普通股标的）,ths_adrcommon_stock_underlying_gbs,股,英股股本指标,,是
07637,预托证券对应标的股票类型,ths_adr_respond_underlying_type_gbs,,英股股本指标,,
07638,预托证券对应标的股票的比例,ths_adr_respond_underlying_ratio_gbs,,英股股本指标,,是
12001,普通股,ths_equity_common_shares_gbs,股,英股股本指标,,是
09978,交易货币,ths_td_currency_gbs,,英股行情指标,,
12003,振幅,ths_swing_gbs,%,英股行情指标 / 日行情,,是
12004,成交量(股),ths_vol_gbs,股,英股行情指标 / 日行情,,是
12005,涨跌幅(%),ths_chg_ratio_gbs,%,英股行情指标 / 日行情,,是
12006,涨跌(元),ths_chg_gbs,元,英股行情指标 / 日行情,复权方式,是
12007,收盘价(元),ths_close_gbs,元,英股行情指标 / 日行情,复权方式,是
12008,最低价(元),ths_low_gbs,元,英股行情指标 / 日行情,复权方式,是
12009,最高价(元),ths_high_gbs,元,英股行情指标 / 日行情,复权方式,是
12010,开盘价(元),ths_open_price_gbs,元,英股行情指标 / 日行情,复权方式,是
12011,前收盘价(元),ths_pre_close_gbs,元,英股行情指标 / 日行情,复权方式,是
07569,总收入,ths_total_revenue_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07570,销售收入,ths_sales_income_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07571,其他收入,ths_other_income_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07572,销售成本,ths_sales_cost_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07573,毛利,ths_gross_profit_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07574,市场、销售和管理费用,ths_mkt_sales_manage_fee_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07575,研发费用,ths_rad_cost_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07576,利息支出,ths_interest_payout_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07577,利息收入,ths_interest_income_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07578,利息净支出,ths_interest_net_pay_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07579,其他营业费用,ths_other_operate_fee_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07580,营业费用合计,ths_total_operating_fee_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07581,营业利润,ths_op_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07582,应占关联公司利润,ths_toassociated_corp_profit_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07583,其他影响持续经营业务的税前利润的损益,ths_other_gal_effct_profit_pre_tax_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07584,持续经营业务的税前利润,ths_conti_op_before_tax_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07585,所得税费用,ths_income_tax_cost_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07586,持续经营业务利润,ths_conti_op_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07587,已终止经营业务利润,ths_stopped_ob_profit_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07588,其他影响净利润的损益,ths_other_gal_affect_np_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07589,净利润,ths_np_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07590,优先股股利,ths_preferred_sharesdividend_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07591,归属于少数股东的净利润,ths_np_atms_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07592,归属于母公司股东的净利润,ths_np_atsopc_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07593,基本每股收益,ths_ps_basic_eps_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07594,基本每股收益(持续经营业务),ths_bisic_eps_continue_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07595,基本每股收益(已终止经营业务),ths_bisic_eps_stopped_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07596,稀释每股收益,ths_dlt_earnings_per_share_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07597,稀释每股收益(持续经营业务),ths_dltd_eps_continue_ob_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07598,稀释每股收益(已终止经营业务),ths_dltd_eps_stopped_ob_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07599,其他全面收入,ths_other_compre_income_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07600,全面收入总额,ths_total_income_amt_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07601,归属于少数股东的全面收入总额,ths_total_compre_income_atms_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07602,归属于母公司股东的全面收入总额,ths_total_income_atsopc_gbs,元,英股财务报表 / 英股一般企业 / 英股利润表,报表类型、货币币种,是
07603,经营活动现金流量净额,ths_ncf_of_oa_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07604,投资活动现金流量净额,ths_ncf_of_ia_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07605,资本性支出,ths_capital_cost_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07606,筹资活动现金流量净额,ths_fa_cash_net_amt_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07607,汇率变动对现金及现金等价物的影响,ths_effect_of_exchange_chg_on_cce_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07608,现金及现金等价物净增加额,ths_net_increase_in_cce_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07609,期初现金及现金等价物余额,ths_initial_cce_balance_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07610,期末现金及现金等价物余额,ths_final_balance_of_cce_gbs,元,英股财务报表 / 英股一般企业 / 英股现金流量表,报表类型、货币币种,是
07558,优先股,ths_preferred_shares_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07559,普通股,ths_common_shares_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07560,资本公积,ths_capital_reserve_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07561,留存收益,ths_retained_income_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07562,库存股,ths_treasury_stock_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07563,累计损益,ths_accumgal_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07564,其他归属于母公司股东权益(归属于母公司股东权益特殊项目),ths_equity_atsopc_sbi_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07565,归属于母公司股东权益合计,ths_total_quity_atsopc_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07566,归属于少数股东权益,ths_equity_atms_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07567,其他权益(权益特殊项目),ths_other_equity_si_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07568,股东权益合计,ths_total_holders_equity_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股所有者权益,报表类型、货币币种,是
07545,短期债务,ths_st_debt_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股流动负债,报表类型、货币币种,是
07546,应付账款,ths_accounts_payable_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股流动负债,报表类型、货币币种,是
07547,应交税费,ths_tax_payable_cl_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股流动负债,报表类型、货币币种,是
07548,应计负债,ths_accrued_liab_gbs,元,英股财务报表 / 英股一般企业 / 英股资产负债表 / 英股流动负债,报表类型、货币币种,是
