指标代码,指标中文名,英文代码,单位,分类,参数,支持序列
08474,总市值,ths_market_value_uss,元,美股估值指标,货币,是
08691,市盈率(PE),ths_pe_uss,,美股估值指标,报告期类型,是
08692,市盈率(PE、TTM),ths_pe_ttm_uss,,美股估值指标,TTM基准日,是
09623,历史PEG,ths_his_peg_uss,,美股估值指标,增长率(G值)匹配方法,是
09624,市净率(PB),ths_pb_uss,,美股估值指标,财政年度、报告期类型,是
09626,市现率(PCF、经营现金流),ths_pcf_operate_cash_flow_uss,,美股估值指标,财政年度、报告期类型,是
09627,市现率(PCF、经营现金流TTM),ths_pcf_operate_cash_flow_ttm_uss,,美股估值指标,TTM基准日,是
09628,市现率(PCF、现金净流量),ths_pcf_cash_net_flow_uss,,美股估值指标,财政年度、报告期类型,是
09629,市现率(PCF、现金净流量TTM),ths_pcf_cash_net_flow_ttm_uss,,美股估值指标,TTM基准日,是
09630,市销率(PS),ths_ps_uss,,美股估值指标,财政年度、报告期类型,是
09631,市销率(PS，TTM),ths_ps_ttm_uss,,美股估值指标,TTM基准日,是
12142,流通市值,ths_current_mv_usk,元,美股估值指标,货币,是
12143,股权价值,ths_right_value_usk,元,美股估值指标,货币,是
12144,企业价值(含货币资金)(EV1),ths_ev1_usk,元,美股估值指标,货币,是
12145,企业价值(不含货币资金)(EV2),ths_ev2_usk,元,美股估值指标,货币,是
12146,企业倍数,ths_ev2_to_ebitda_usk,,美股估值指标,,是
16761,"市净率(PB,MRQ)",ths_pb_mrq_usk,,美股估值指标,,是
16762,"市净率(PB,最新)",ths_pb_latest_usk,,美股估值指标,基准日,是
16809,加权市盈率（PE）,ths_pg_wgt_uss,,美股估值指标,年度,是
16810,加权市盈率（PE、TTM）,ths_pe_wgt_ttm_uss,,美股估值指标,TTM基准日,是
16824,市盈率(PE、LYR),ths_pe_lyr_uss,,美股估值指标,,是
16827,"市销率(PS,LYR)",ths_ps_lyr_uss,,美股估值指标,,是
17753,股息率_近12个月,ths_dividend_rate_12m_usk,%,美股估值指标,,是
07516,CIK编码,ths_cik_uss,,美股基本资料 / 美股公司资料,,
07611,公司中文名称,ths_corp_cn_name_uss,,美股基本资料 / 美股公司资料,,
07612,公司英文名称,ths_corp_name_en_uss,,美股基本资料 / 美股公司资料,,
07613,成立日期,ths_established_date_uss,,美股基本资料 / 美股公司资料,,
07614,会计年结日,ths_accounting_date_uss,,美股基本资料 / 美股公司资料,,
07615,总经理,ths_general_manager_uss,,美股基本资料 / 美股公司资料,,
07616,董事会秘书,ths_secretary_uss,,美股基本资料 / 美股公司资料,,
07617,经营范围,ths_operating_scope_uss,,美股基本资料 / 美股公司资料,,
07619,所属SIC行业,ths_the_sic_industry_uss,,美股基本资料 / 美股公司资料,行业级别,
07621,员工总数,ths_staff_num_uss,,美股基本资料 / 美股公司资料,,是
07622,注册地址,ths_reg_address_uss,,美股基本资料 / 美股公司资料,,
07623,办公地址,ths_office_address_uss,,美股基本资料 / 美股公司资料,,
07624,邮政编码,ths_postcode_uss,,美股基本资料 / 美股公司资料,,
07625,公司电话,ths_corp_tel_uss,,美股基本资料 / 美股公司资料,,
07626,公司传真,ths_corp_fax_uss,,美股基本资料 / 美股公司资料,,
07627,公司电子邮件地址,ths_corp_email_uss,,美股基本资料 / 美股公司资料,,
07628,公司网站,ths_corp_website_uss,,美股基本资料 / 美股公司资料,,
07629,高管成员(现任),ths_sm_current_uss,,美股基本资料 / 美股公司资料,,
07630,董事会成员(现任),ths_mem_of_bod_resolution_plan_ad_uss,,美股基本资料 / 美股公司资料,,
09934,注册资本,ths_reg_capital_uss,元,美股基本资料 / 美股公司资料,,是
09935,法人代表,ths_legal_representative_uss,,美股基本资料 / 美股公司资料,,
09936,注册地所在国家或地区,ths_registrate_nation_or_district_uss,,美股基本资料 / 美股公司资料,,
12672,审计机构,ths_audit_office_usk,,美股基本资料 / 美股公司资料,年度,
17773,企业地址,ths_corp_address_usk,,美股基本资料 / 美股公司资料,,
30022,公司英文名称,corp_name_en,,美股基本资料 / 美股公司资料,,
07513,股票简称,ths_stock_short_name_uss,,美股基本资料 / 美股证券资料,,
07514,股票代码,ths_stock_code_uss,,美股基本资料 / 美股证券资料,,
07515,同花顺代码,ths_thscode_uss,,美股基本资料 / 美股证券资料,,
07517,股票种类,ths_stock_varieties_uss,,美股基本资料 / 美股证券资料,,
07518,上市日期,ths_listed_date_uss,,美股基本资料 / 美股证券资料,,
07519,交易市场,ths_td_mkt_uss,,美股基本资料 / 美股证券资料,,
07520,上市板块,ths_listing_plate_uss,,美股基本资料 / 美股证券资料,,
07521,上市地点,ths_listed_exchange_uss,,美股基本资料 / 美股证券资料,,
07522,终止上市日期,ths_stop_listing_date_uss,,美股基本资料 / 美股证券资料,,
07523,所属概念,ths_the_concept_uss,,美股基本资料 / 美股证券资料,,
07524,是否属于重要指数成分,ths_is_important_index_constituent_uss,,美股基本资料 / 美股证券资料,所属指数,
07620,所属GICS行业,ths_the_gics_industry_uss,,美股基本资料 / 美股证券资料,行业分类,
17055,所属GICS行业代码,ths_gics_industry_code_uss,,美股基本资料 / 美股证券资料,行业分类,
03105,MACD指数平滑异同移动平均线,ths_macd_uss,,美股技术指标,长期周期、短期周期、周期、MCAD指标选项、复权方式、计算周期,是
03115,KDJ随机指标,ths_kdj_uss,,美股技术指标,周期、周期1、周期2、KDJ指标选项、复权方式、计算周期,是
03135,BOLL布林线,ths_boll_uss,,美股技术指标,周期、带宽、BOLL指标选项、复权方式、计算周期,是
05145,MA简单移动平均,ths_ma_uss,,美股技术指标,周期、复权方式、计算周期,是
05148,RSI相对强弱指标,ths_rsi_uss,,美股技术指标,周期、复权方式、计算周期,是
12676,审计意见类型,ths_audit_opinion_type_usk,,美股报表附注 / 美股审计意见,年度,
12677,审计费,ths_audit_fee_usk,元,美股报表附注 / 美股审计意见,年度、货币币种,
12679,审计相关费用,ths_audit_related_fee_usk,元,美股报表附注 / 美股审计意见,年度、货币币种,
12680,税费,ths_tax_usk,元,美股报表附注 / 美股审计意见,年度、货币币种,
12682,其他费用,ths_other_fees_usk,元,美股报表附注 / 美股审计意见,年度、货币币种,
12683,总费用,ths_total_cost_usk,元,美股报表附注 / 美股审计意见,年度、货币币种,
08452,营业收入构成(按业务)-项目名称,ths_project_name_oic_bussiness_uss,,美股报表附注 / 美股营业收入构成,排名,
08453,营业收入构成(按业务)-项目收入,ths_project_income_oic_bussiness_uss,元,美股报表附注 / 美股营业收入构成,排名、货币币种,是
08454,营业收入构成(按地区)-项目名称,ths_project_name_oic_district_uss,,美股报表附注 / 美股营业收入构成,排名,
08455,营业收入构成(按地区)-项目收入,ths_project_income_oic_district_uss,元,美股报表附注 / 美股营业收入构成,排名、货币币种,是
11949,营业收入构成(按业务) - 项目成本,ths_project_cost_oic_bussiness_uss,元,美股报表附注 / 美股营业收入构成,排名、货币币种,是
11950,营业收入构成(按业务) - 项目毛利,ths_project_grpf_oic_bussiness_uss,元,美股报表附注 / 美股营业收入构成,排名、货币币种,是
11951,营业收入构成(按业务) - 项目毛利率,ths_project_sales_gir_oic_bussiness_uss,,美股报表附注 / 美股营业收入构成,排名,是
11952,营业收入构成(按地区) - 项目成本,ths_project_cost_oic_district_uss,元,美股报表附注 / 美股营业收入构成,排名、货币币种,是
11953,营业收入构成(按地区) - 项目毛利,ths_project_grpf_oic_district_uss,元,美股报表附注 / 美股营业收入构成,排名、货币币种,是
11954,营业收入构成(按地区) - 项目毛利率,ths_project_salesgir_oic_district_uss,,美股报表附注 / 美股营业收入构成,排名,是
11955,单季度 - 营业收入构成(按业务) - 项目名称,ths_sq_project_name_oic_bussiness_uss,,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名,
11956,单季度 - 营业收入构成(按业务) - 项目收入,ths_sq_project_income_oic_bussiness_uss,元,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名、货币币种,是
11957,单季度 - 营业收入构成(按业务) - 项目成本,ths_sq_project_cost_oic_bussiness_uss,元,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名、货币币种,是
11958,单季度 - 营业收入构成(按业务) - 项目毛利,ths_sq_project_grpf_oic_bussiness_uss,元,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名、货币币种,是
11959,单季度 - 营业收入构成(按业务) - 项目毛利率,ths_sq_project_slgir_oic_bussiness_uss,,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名,是
11960,单季度 - 营业收入构成(按地区) - 项目名称,ths_sq_project_name_oic_district_uss,,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名,
11961,单季度 - 营业收入构成(按地区) - 项目收入,ths_sq_project_income_oic_district_uss,元,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名、货币币种,是
11962,单季度 - 营业收入构成(按地区) - 项目成本,ths_sq_project_cost_oic_district_uss,元,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名、货币币种,是
11963,单季度 - 营业收入构成(按地区) - 项目毛利,ths_sq_project_grpf_oic_district_uss,元,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名、货币币种,是
11964,单季度 - 营业收入构成(按地区) - 项目毛利率,ths_sq_project_slgir_oic_district_uss,,美股报表附注 / 美股营业收入构成(单季度),年度、季度、排名,是
17725,每股收益预测机构家数,ths_fore_eps_org_num_uss,家,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期,是
17726,预测每股收益平均值,ths_fore_eps_mean_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17727,预测每股收益最大值,ths_fore_eps_max_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17728,预测每股收益最小值,ths_fore_eps_min_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17729,预测每股收益中值,ths_fore_eps_median_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17730,预测每股收益标准差,ths_fore_eps_standard_deviation_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17731,预测营业收入平均值,ths_fore_income_mean_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17732,预测营业收入最大值,ths_fore_income_max_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
17733,预测营业收入最小值,ths_fore_income_min_uss,元,美股盈利预测 / 美股盈利预测综合值（可选周期）,年度、截至日期、综合值周期、货币币种,是
