维度,指标规范名,参数,单位
债券基本,债券名称,,
债券基本,债券代码,,
债券基本,发行人中文名称,,
债券基本,发行起始日期,,
债券基本,起息日期,,
债券基本,到期日期,,
债券基本,上市日期,,
债券基本,上市地点,,
债券基本,发行期限,,年
债券基本,债券面值,,元
债券基本,债券余额,,亿元
债券基本,息票品种,,
债券基本,利率类型,,
债券基本,计息方式,,
债券基本,计息基础,,
债券基本,年付息次数,,
债券基本,是否含权债,,
债券基本,是否城投债(THS),,
债券基本,所属申万行业,,
债券基本,债券最新信用评级,,
债券基本,最新最低主体评级,,
债券基本,债券评级类型,,
债券基本,债券评级机构,,
债券基本,债券最新评级日期,,
债券基本,债券最新评级变动方向,,
债券基本,债券ISIN代码,,
债券估值行情,收盘价,价格类型,元
债券估值行情,成交量,,
债券估值行情,到期收益率,,%
债券估值行情,行权YTM,,
债券估值行情,应计利息（中债）,,元
债券估值行情,应计利息（中证）,,元
债券估值行情,估价净价（中债）,,元
债券估值行情,估价全价（中债）,,元
债券估值行情,估价修正久期（中债）,,
债券估值行情,修正久期,,
债券估值行情,30年久期,,
债券估值行情,凸性,,
债券估值行情,估价凸性（中债）,,
债券估值行情,估价凸性（中证）,,
债券估值行情,估价凸性(清算所),,
债券估值行情,估价利率凸性（中债）,,
债券估值行情,估价利率凸性(清算所),,
债券估值行情,行权基准凸性,,
债券估值行情,加权平均结算价利率凸性（中债）,,
债券估值行情,加权平均结算价凸性（中债）,,
债券估值行情,剩余期限(年),,年
债券估值行情,加权剩余期限(按本息),,年
债券估值行情,加权剩余期限(按本金),,年
债券估值行情,到期利差（减国债）,,BP
债券估值行情,行权利差（减国债）,,BP
债券估值行情,到期利差（减国开）,,BP
债券估值行情,行权利差（减国开）,,BP
债券估值行情,主体利差,,BP
债券估值行情,省级利差,,BP
债券估值行情,行业利差,,BP
债券估值行情,行业超额利差,,BP
债券财务,发行人中文名称,,
债券财务,发行人中文简称,,
债券财务,营业总收入,,元
债券财务,营业收入,,元
债券财务,营业收入-合计,,元
债券财务,营业收入-主营业务,,元
债券财务,净利润,,元
债券财务,归属于母公司所有者的净利润,,元
债券财务,归属于母公司所有者权益合计,,元
债券财务,资产总计(MRQ),,元
债券财务,净资产收益率ROE(扣除／摊薄),,%
债券财务,单季度.净资产收益率ROE,,%
债券财务,资产负债率,,%
债券财务,剔除预收款项（负债部分剔除）后的资产负债率,,%
债券财务,流动比率-母公司,,
债券财务,支付原保险合同赔付款项的现金,,元
债券可转债,转股价格,,元
债券可转债,转股比例,,
债券可转债,转股溢价率,,%
债券可转债,纯债价值,,元
债券可转债,回售触发价,,
债券可转债,赎回触发价,,元
债券可转债,赎回价格说明,,
债券可转债,到期赎回价,,元
债券可转债,条件赎回起始日期,,
债券可转债,条件赎回截止日期,,
债券可转债,相对赎回期,,月
债券可转债,每年可赎回次数,,次
债券可转债,赎回触发计算最大时间区间,,天
债券可转债,赎回触发计算时间区间,,天
债券可转债,赎回触发比例,,%
债券可转债,利息处理,,
债券可转债,赎回条款,,
债券可转债,是否有时点赎回条款,,
债券可转债,时点赎回数,,
债券可转债,时点赎回条款全文,,
