维度,指标规范名,参数,单位
基金资料,基金全称,,
基金资料,基金类型,,
基金资料,基金投资类型,,
基金资料,投资类型(一级分类),,
基金资料,投资类型(二级分类),,
基金资料,投资类型(三级分类),,
基金资料,投资类型(英文),,
基金资料,基金成立日,,
基金资料,基金管理人(全称),,
基金资料,基金托管人,,
基金资料,基金托管人(全称),,
基金资料,业绩比较基准,,
基金资料,管理费率,,%
基金资料,托管费率,,%
基金资料,托管费率(支持历史),,
基金资料,申购费率,,
基金资料,申购费率(支持历史),,
基金资料,申购费率说明,,
基金资料,赎回费率,,
基金资料,赎回费率说明,,
基金资料,姓名(基金经理),,
基金资料,出生年月,,
基金资料,年龄,,
基金资料,性别,,
基金资料,学历,,
基金资料,国籍,,
基金资料,任职起始日,,
基金资料,任职期限,任职状态;任职年化回报排名,年
基金资料,任职天数,任职状态;任职年化回报排名,天
基金资料,任职基金总规模,,
基金资料,在任基金数,,
基金资料,在任基金代码,,
基金净值,单位净值,交易日期,元
基金净值,累计单位净值,交易日期,元
基金净值,单位净值增长率,交易日期,%
基金净值,单位净值币种,,
基金净值,净值日期,,
基金持仓,基金资产总值,报告期,元
基金持仓,基金资产净值,报告期,元
基金持仓,基金资产净值变动,报告期,元
基金持仓,基金资产净值变动率,报告期,%
基金持仓,基金资产总值变动,报告期,元
基金持仓,基金资产总值变动率,报告期,%
基金持仓,基金净值占基金资产总值比,报告期,%
基金持仓,股票投资市值,报告期,元
基金持仓,债券投资市值,报告期,元
基金持仓,权证投资市值,报告期,元
基金持仓,银行存款,报告期,元
基金持仓,其他资产,报告期,元
基金持仓,股票市值占基金资产净值比,报告期,%
基金持仓,债券市值占基金资产净值比,报告期,%
基金持仓,权证市值占基金资产净值比,报告期,%
基金持仓,银行存款占基金资产净值比,报告期,%
基金持仓,其他资产占基金资产净值比,报告期,%
基金持仓,股票市值占基金资产总值比,报告期,%
基金持仓,债券市值占基金资产总值比,报告期,%
基金持仓,权证市值占基金资产总值比,报告期,%
基金持仓,银行存款占基金资产总值比,报告期,%
基金持仓,其他资产占基金资产总值比,报告期,%
基金持仓,投资集中度,报告期,%
基金持仓,前N名重仓股票市值合计占基金资产净值比,报告期;排名,%
基金持仓,前N名重仓股票市值合计占股票投资市值比,报告期;排名,%
基金持仓,股票市值增长率,报告期,%
基金持仓,债券市值增长率,报告期,%
基金持仓,权证市值增长率,报告期,%
基金持仓,银行存款市值增长率,报告期,%
基金持仓,其他资产市值增长率,报告期,%
基金持仓,重仓股股票名称(排名),报告期;排名=第1名…第10名,
基金持仓,重仓股股票代码(排名),报告期;排名=第1名…第10名,
基金持仓,重仓股同花顺代码(排名),报告期;排名=第1名…第10名,
基金持仓,重仓股持股数量(排名),报告期;排名=第1名…第10名,股
基金持仓,重仓股持股市值(排名),报告期;排名=第1名…第10名,元
