维度,指标规范名,参数,单位
股票事件,首发价格,,元
股票事件,首发募集资金,,元
股票事件,每股股利(税前),报告期,元
股票事件,每股股利(税后),报告期,元
股票事件,每股股利（税前，包含特别分红）,报告期,元
股票事件,分红比例,报告期,%
股票事件,现金分红比例,报告期,%
股票事件,最新分红报告期,截止日期=最新,
股票事件,年度累计分红总额,年度,元
股票事件,年度累计分红总额（包含特别分红）,年度,元
股票事件,年度分红比例,年度;报表类型,%
股票事件,年度累计单位分红,年度,元
股票事件,增发募集资金,增发年度;认购方式,元
股票事件,配股发行方式,年度,
股票事件,配股承销方式,年度,
股票事件,流通股份类型,截止日期=最新,
股票事件,本期流通数量,截止日期=最新,股
股票事件,本期公布流量数量,截止日期=最新,股
股票事件,已流通数量,截止日期=最新,股
股票事件,未流通数量,截止日期=最新,股
股票事件,（区间）流通数量,起始交易日期;截止交易日期,股
股票事件,（区间）公布流通数量,起始交易日期;截止交易日期,股
股票事件,限售解禁日期,截止日期=最新,
股票事件,（区间）限售解禁日期,起始交易日期;截止交易日期,
股票事件,大股东增持价格,截止日期=最新,元
股票事件,管理层增持价格,截止日期=最新,元
