维度,指标规范名,参数,单位
股票股本股东,总股本,截止日期=最新,股
股票股本股东,流通股合计,截止日期=最新,股
股票股本股东,限售股合计,截止日期=最新,股
股票股本股东,控股股东,截止日期=最新,
股票股本股东,控股股东持股比例,截止日期=最新,%
股票股本股东,前十大股东持股比例合计,报告期,%
股票股本股东,前十大流通股东持股比例合计,报告期,%
股票股本股东,前十大股东持股数量合计,报告期,股
股票股本股东,前十大流通股东持股数量合计,报告期,股
股票股本股东,一般法人持股比例,报告期,%
股票股本股东,股东户数(报告期),报告期;股东类型,户
股票股本股东,股东户数(截止日期),截止日期=最新;股东类型,
股票股本股东,户均持股数量,报告期;股本类型,股
股票股本股东,户均持股比例,报告期;股本类型,‰
股票股本股东,户均持股比例变动(环比),报告期;股本类型,‰
股票股本股东,户均持股数季度增长率,报告期;股本类型,%
股票股本股东,户均持股比例季度增长率,报告期;股本类型,%
股票股本股东,户均持股数半年增长率,报告期;股本类型,%
股票股本股东,户均持股比例半年增长率,报告期;股本类型,%
股票股本股东,股东名称(十大股东排名),截止日期=最新;大股东排名=第1名…第10名,
股票股本股东,股东持股数量(十大股东排名),截止日期=最新;大股东排名=第1名…第10名,股
股票股本股东,股东持股比例(十大股东排名),截止日期=最新;大股东排名=第1名…第10名,%
股票股本股东,股东持股股份性质(十大股东排名),截止日期=最新;大股东排名=第1名…第10名,
股票股本股东,股东性质(十大股东排名),截止日期=最新;大股东排名=第1名…第10名,
