维度,指标规范名,参数,单位
股票行情技术,开盘价,复权方式,元
股票行情技术,最高价,复权方式,元
股票行情技术,最低价,复权方式,元
股票行情技术,收盘价,复权方式,元
股票行情技术,前收盘价,复权方式,元
股票行情技术,涨跌,复权方式,元
股票行情技术,涨跌幅,复权方式,%
股票行情技术,振幅,,%
股票行情技术,换手率,,%
股票行情技术,量比,周期=5;计算周期=日,
股票行情技术,成交量,复权方式,股
股票行情技术,成交量(含大宗交易),复权方式,股
股票行情技术,成交额,,元
股票行情技术,周涨跌幅,复权方式,%
股票行情技术,月涨跌幅,复权方式,%
股票行情技术,周最低价,复权方式,元
股票行情技术,月最低价,复权方式,元
股票行情技术,年最低价,复权方式,元
股票行情技术,N日涨跌幅,天数(用负号表示前推);复权方式,%
股票行情技术,连涨天数,,天
股票行情技术,涨跌停状态,,
股票行情技术,融资余额,,元
股票行情技术,融券余额,,元
股票行情技术,融资融券余额,,元
股票行情技术,MACD指数平滑异同平均,长期周期=26;短期周期=12;周期=9;MCAD指标选项=DIFF|DEA|MACD;复权方式;计算周期,
股票行情技术,KDJ随机指标,周期;周期1;周期2;KDJ指标选项=K|D|J;复权方式;计算周期,
股票行情技术,RSI相对强弱指标,周期=6/12/24;复权方式;计算周期,
股票行情技术,WR威廉指标,周期;复权方式;计算周期,
股票行情技术,MA简单移动平均,周期=5/10/20/60;复权方式;计算周期,
股票行情技术,BOLL布林线,周期;带宽;BOLL指标选项=UPPER|MID|LOWER;复权方式;计算周期,
股票行情技术,ROC变动速率,间隔周期;周期;ROC指标选项=ROC|MAROC;复权方式;计算周期,
股票行情技术,VR成交量比率,周期;计算周期,
股票行情技术,CCI顺势指标,周期;复权方式;计算周期,
股票行情技术,TRIX三重指数平滑平均,周期1;周期2;TRIX指标选项=TRIX|TRMA;复权方式;计算周期,
股票行情技术,BBI多空指数,周期1;周期2;周期3;周期4;复权方式;计算周期,
股票行情技术,SAR抛物转向指标,周期;步长;极值;复权方式;计算周期,
股票行情技术,DMA平均线差,短期周期;长期周期;周期;DMA指标选项=DDD|AMA;复权方式;计算周期,
股票行情技术,OBV能量潮,OBV指标选项=OBV;复权方式;计算周期,
