维度,指标规范名,参数,单位
股票财务,经营活动产生的现金流量净额,报表类型=合并报表,元
股票财务,利润总额,报表类型=合并报表,元
股票财务,单季度.利润总额,年度;季度;报表类型=合并报表,元
股票财务,所有者权益合计,报表类型=合并报表,元
股票财务,非流动资产／总资产,,%
股票财务,交易性金融负债,报表类型=合并报表,元
股票财务,营业收入,报表类型=合并报表,元
股票财务,归属于母公司所有者的净利润,报表类型=合并报表,元
股票财务,营业成本,报表类型=合并报表,元
股票财务,净利润,报表类型=合并报表,元
股票财务,筹资活动产生的现金流量净额,报表类型=合并报表,元
股票财务,资产总计,报表类型=合并报表,元
股票财务,每股经营活动产生的现金流量净额,,元
股票财务,归属于母公司所有者权益合计,报表类型=合并报表,元
股票财务,经营活动产生的现金流量净额／经营活动净收益,,
股票财务,负债合计,报表类型=合并报表,元
股票财务,营业利润,报表类型=合并报表,元
股票财务,营业总收入,报表类型=合并报表,元
股票财务,单季度.营业总收入,年度;季度;报表类型=合并报表,元
股票财务,单季度.营业收入,年度;季度;报表类型=合并报表,元
股票财务,营业总收入(同比增长率),,%
股票财务,营业收入(同比增长率),,%
股票财务,单季度.营业总收入同比增长率,年度;季度,%
股票财务,单季度.营业收入同比增长率,年度;季度,%
股票财务,归属母公司股东的净利润(同比增长率),,%
股票财务,净利润(同比增长率),,%
股票财务,投入资本回报率ROIC(TTM),TTM基准日=报表公告日期,%
股票财务,总资产净利率ROA,,%
股票财务,净资产收益率ROE(加权,公布值),,%
股票财务,净资产收益率ROE(TTM),TTM基准日=报表公告日期,%
股票财务,净资产收益率ROE（TTM，平均）,TTM基准日=报表公告日期,%
股票财务,净资产收益率ROE(平均，含少数股东),报表类型=合并报表,%
股票财务,净资产收益率ROE(扣除／加权),,%
股票财务,销售净利率,,%
股票财务,销售毛利率,,%
股票财务,投入资本回报率ROIC（归母净利润法）,,%
股票财务,销售毛利率-母公司,,%
股票财务,净资产收益率ROE(摊薄,公布值),,%
股票财务,速动比率,,
股票财务,资产负债率,,%
股票财务,流动比率,,
股票财务,资产负债率-母公司,,%
股票财务,已获利息倍数(EBIT／利息费用),,
股票财务,股东权益比率,,%
股票财务,产权比率,,
股票财务,现金流量利息保障倍数,,%
股票财务,速动比率-母公司,,
股票财务,现金比率,,%
股票财务,流动比率-母公司,,
股票财务,速动比率-简化,,
股票财务,单季度-经营性现金净流量同比增长率,年度;季度,%
股票财务,净资产(同比增长率),,%
股票财务,业绩快报-同比增长率：归属母公司股东的净利润,,
股票财务,营业总收入(同比增长率)-母公司,,%
股票财务,业绩快报-同比增长率：基本每股收益,,
股票财务,总资产(同比增长率),,%
股票财务,经营活动产生的现金流量净额(同比增长率),,%
股票财务,每股营业收入(TTM),TTM基准日=报表公告日期,元
股票财务,每股收益EPS-稀释,,元
股票财务,每股资本公积-最新股本摊薄,,元
股票财务,资本公积,报表类型=合并报表,元
股票财务,每股净资产BPS,,元
股票财务,未分配利润,报表类型=合并报表,元
股票财务,每股收益EPS-基本,,元
股票财务,每股净资产BPS-最新公告,,元
股票财务,每股未分配利润-最新股本摊薄,,元
股票财务,每股留存收益-最新股本摊薄,,元
股票财务,每股净资产BPS-最新股本摊薄,,元
股票财务,每股未分配利润,,元
股票财务,每股收益EPS-扣除／基本,,元
股票财务,每股收益EPS-扣除／稀释,,元
股票财务,存货周转天数,,天
股票财务,应收账款周转天数-母公司,,天
股票财务,存货周转率,,次
股票财务,存货周转天数-母公司,,天
股票财务,存货周转率(原值口径),,次
股票财务,总资产周转率,,次
股票财务,应付账款周转率,,次
股票财务,固定资产周转率,,次
股票财务,流动资产周转率评价,,
股票财务,权益乘数(杜邦分析),,
股票财务,归属于母公司股东的净利润/营业总收入,,%
股票财务,归属母公司股东的净利润／净利润,,%
股票财务,净利润／营业总收入,,%
股票财务,净利润／营业总收入(TTM),TTM基准日=报表公告日期,%
股票财务,业绩快报.归属母公司股东的净利润,,元
