维度,指标规范名,参数,单位
股票风险,Beta,起始/截止交易日期;计算周期;收益率计算方法;标的指数,
股票风险,Beta(剔除财务杠杆),起始/截止交易日期;收益率计算方法;标的指数;剔除财务杠杆(D/E),
股票风险,BETA值(最近60个月),交易日期,
股票风险,BETA值(最近100周),交易日期,
股票风险,Sharpe,起始/截止交易日期;计算周期;收益率计算方法;无风险收益率,
股票风险,Treynor,起始/截止交易日期;计算周期;收益率计算方法;无风险收益率;标的指数,
股票风险,波动率,起始/截止交易日期;计算周期;收益率计算方法,%
股票风险,波动率(年化),起始/截止交易日期;计算周期;收益率计算方法,%
股票风险,年化波动率(24个月),交易日期,%
股票风险,年化波动率(60个月),交易日期,%
股票风险,年化波动率(100周),交易日期,%
股票风险,年化收益率(24个月),交易日期,%
股票风险,年化收益率(100周),交易日期,%
股票风险,区间最大回撤,起始/截止交易日期;复权方式,%
股票风险,参数VaR,起始/截止交易日期;计算周期;收益率计算方法;置信水平,%
股票风险,股息率(TTM),截止日期,%
股票风险,主营业务比率,报告期,%
