分类,字段代码,字段(大写),中文名,有效,命中品种,样例值,备注
行情,open,OPEN,开盘价,是,600519.SH(股),1169.0,
行情,high,HIGH,最高价,是,600519.SH(股),1215.0,
行情,low,LOW,最低价,是,600519.SH(股),1151.01,
行情,close,CLOSE,收盘价,是,600519.SH(股),1194.96,
行情,pre_close,PRE_CLOSE,前收盘价,是,600519.SH(股),1168.63,
行情,volume,VOLUME,成交量,是,600519.SH(股),6687812.0,
行情,amt,AMT,成交额,是,600519.SH(股),7949237761.0,
行情,vwap,VWAP,均价VWAP,是,600519.SH(股),1188.6156131482164,
行情,chg,CHG,涨跌,是,600519.SH(股),26.329999999999927,
行情,pct_chg,PCT_CHG,涨跌幅,是,600519.SH(股),2.2530655553939134,
行情,swing,SWING,振幅,是,600519.SH(股),5.475642418900764,
行情,turn,TURN,换手率,是,600519.SH(股),0.5349900354224956,
行情,free_turn,FREE_TURN,换手率(自由流通),是,600519.SH(股),1.2363110518715132,
行情,maxupordown,MAXUPORDOWN,涨跌停状态,是,600519.SH(股),0,
行情,trade_status,TRADE_STATUS,交易状态,是,600519.SH(股),交易,
行情,susp_days,SUSP_DAYS,连续停牌天数,是,600519.SH(股),0,
行情,rel_ipo_chg,REL_IPO_CHG,上市后涨跌幅,是,600519.SH(股),1163.57,
行情,adjfactor,ADJFACTOR,复权因子,是,600519.SH(股),8.646881,
估值,pe_ttm,PE_TTM,市盈率PE(TTM),是,600519.SH(股),18.05954933166504,
估值,pe_lyr,PE_LYR,市盈率PE(LYR),是,600519.SH(股),18.14621346318745,
估值,pb_lf,PB_LF,市净率PB(LF),是,600519.SH(股),6.4149603843688965,
估值,pb_mrq,PB_MRQ,市净率PB(MRQ),是,600519.SH(股),5.514324101679788,
估值,ps_ttm,PS_TTM,市销率PS(TTM),是,600519.SH(股),8.677483451697148,
估值,pcf_ocf_ttm,PCF_OCF_TTM,"市现率PCF(经营,TTM)",是,600519.SH(股),18.760902936811533,
估值,pcf_ncf_ttm,PCF_NCF_TTM,"市现率PCF(净额,TTM)",是,600519.SH(股),1052.1033935546875,
估值,dividendyield2,DIVIDENDYIELD2,股息率(近12月),是,600519.SH(股),4.353549354152621,
估值,ev,EV,企业价值EV,是,600519.SH(股),1493797509930.96,
估值,ev1,EV1,企业价值EV1,是,600519.SH(股),1510757198343.03,
估值,ev2,EV2,企业价值EV2,是,600519.SH(股),1461970506945.48,
估值,mkt_cap_ard,MKT_CAP_ARD,总市值,是,600519.SH(股),1493797509930.96,
估值,mkt_cap_ashare,MKT_CAP_ASHARE,A股市值,是,600519.SH(股),1493797509930.96,
估值,mkt_freeshares,MKT_FREESHARES,自由流通市值,是,600519.SH(股),646412390750.88,
估值,val_pe_deducted_ttm,VAL_PE_DEDUCTED_TTM,"市盈率(扣非,TTM)",是,600519.SH(股),18.06651586635345,
估值,estpeg_west,ESTPEG_WEST,PEG(预测),否,,,"{""detail"":""Wind 取数失败：-40522006""}"
估值,pe,PE,市盈率PE,是,600519.SH(股),,
估值,pb,PB,市净率PB,是,600519.SH(股),,
财务-盈利,roe,ROE,净资产收益率ROE,是,600519.SH(股),,
财务-盈利,roe_ttm2,ROE_TTM2,ROE(TTM),是,600519.SH(股),,
