字段代码,字段(大写),中文名,参数,来源
1stquartile,1STQUARTILE,N日收盘价1/4分位数,,xla去前缀变体
3rdquartile,3RDQUARTILE,N日收盘价3/4分位数,,xla去前缀变体
abnormaltrade_netbuy,ABNORMALTRADE_NETBUY,龙虎榜净买入额,TRADEDATE,xla去前缀变体
abs_12mavgdefaultrate,ABS_12MAVGDEFAULTRATE,年化违约率(12月平均),DEALDATE,xla去前缀变体
abs_12mavgprepayrate,ABS_12MAVGPREPAYRATE,年化早偿率(12月平均),DEALDATE,xla去前缀变体
abs_actualrecoveryrate,ABS_ACTUALRECOVERYRATE,不良ABS实际回收比率,DEALDATE,xla去前缀变体
abs_agency_custodian,ABS_AGENCY_CUSTODIAN,资金保管机构,,xla去前缀变体
abs_agency_trustee1,ABS_AGENCY_TRUSTEE1,受托机构,,xla去前缀变体
abs_annualdefaultrate,ABS_ANNUALDEFAULTRATE,年化违约率(单月年化),DEALDATE,xla去前缀变体
abs_annualprepayrate,ABS_ANNUALPREPAYRATE,年化早偿率,DEALDATE,xla去前缀变体
abs_assetserviceagency,ABS_ASSETSERVICEAGENCY,资产服务机构,,xla去前缀变体
abs_borrower,ABS_BORROWER,基础债务人,,xla去前缀变体
abs_capyieldpertermofsub,ABS_CAPYIELDPERTERMOFSUB,次级每期收益率上限,,xla去前缀变体
abs_cdr_cbr,ABS_CDR_CBR,ABS累计违约率(中债资信),TRADEDATE,xla去前缀变体
abs_clrprchs,ABS_CLRPRCHS,清仓回购条款,,xla去前缀变体
abs_codebtors,ABS_CODEBTORS,共同债务人,,xla去前缀变体
abs_collectionenddate,ABS_COLLECTIONENDDATE,资产池归集时间,,xla去前缀变体
abs_compassetsrecovrate,ABS_COMPASSETSRECOVRATE,不良ABS处置完毕资产回收率,DEALDATE,xla去前缀变体
abs_coreindustry,ABS_COREINDUSTRY,基础债务人行业,,xla去前缀变体
abs_coreproperty,ABS_COREPROPERTY,基础债务人性质,,xla去前缀变体
abs_coreprovince,ABS_COREPROVINCE,基础债务人地区,,xla去前缀变体
abs_creditnormal,ABS_CREDITNORMAL,承销团成员,,xla去前缀变体
abs_creditsupport,ABS_CREDITSUPPORT,信用支持,DEALDATE,xla去前缀变体
abs_cumdefaultrate,ABS_CUMDEFAULTRATE,累计违约率,DEALDATE,xla去前缀变体
