字段代码,字段(大写),中文名,参数
accrint_dayend_cnbd,ACCRINT_DAYEND_CNBD,日终应计利息,TRADEDATE、CRED
adtm,ADTM,ADTM动态买卖气指标,TD、N1、N2、IO、ADJ、C
advancecredit_desc,ADVANCECREDIT_DESC,信托项目关联企业名称,
anticipateyield_desc,ANTICIPATEYIELD_DESC,信用增级情况,
arbr,ARBR,ARBR人气意愿指标,TD、N、IO、ADJ、C
atr,ATR,ATR真实波幅,TD、N、IO、ADJ、C
b_abs_12mavgdefaultrate,B_ABS_12MAVGDEFAULTRATE,年化违约率(12月平均),DEALDATE
b_abs_12mavgprepayrate,B_ABS_12MAVGPREPAYRATE,年化早偿率(12月平均),DEALDATE
b_abs_actualrecoveryrate,B_ABS_ACTUALRECOVERYRATE,不良ABS实际回收比率,DEALDATE
b_abs_agency_trustee1,B_ABS_AGENCY_TRUSTEE1,受托机构,
b_abs_annualdefaultrate,B_ABS_ANNUALDEFAULTRATE,年化违约率(单月年化),DEALDATE
b_abs_annualprepayrate,B_ABS_ANNUALPREPAYRATE,年化早偿率,DEALDATE
b_abs_assetserviceagency,B_ABS_ASSETSERVICEAGENCY,资产服务机构,
b_abs_borrower,B_ABS_BORROWER,基础债务人,
b_abs_capyieldpertermofsub,B_ABS_CAPYIELDPERTERMOFSUB,次级每期收益率上限,
b_abs_cdr_cbr,B_ABS_CDR_CBR,ABS累计违约率(中债资信),TRADEDATE
b_abs_collectionenddate,B_ABS_COLLECTIONENDDATE,资产池归集时间,
b_abs_compassetsrecovrate,B_ABS_COMPASSETSRECOVRATE,不良ABS处置完毕资产回收率,DEALDATE
b_abs_coreindustry,B_ABS_COREINDUSTRY,基础债务人行业,
b_abs_coreproperty,B_ABS_COREPROPERTY,基础债务人性质,
b_abs_coreprovince,B_ABS_COREPROVINCE,基础债务人地区,
b_abs_creditnormal,B_ABS_CREDITNORMAL,承销团成员,
b_abs_creditsupport,B_ABS_CREDITSUPPORT,信用支持,DEALDATE
b_abs_cumdefaultrate,B_ABS_CUMDEFAULTRATE,累计违约率,DEALDATE
b_abs_cumulativedefaultrate,B_ABS_CUMULATIVEDEFAULTRATE,累计违约率,
b_abs_currentloan,B_ABS_CURRENTLOAN,当前贷款笔数,
b_abs_currentloans,B_ABS_CURRENTLOANS,当前贷款余额,UnitVal
b_abs_currentwarm,B_ABS_CURRENTWARM,当前加权平均贷款剩余期限,
b_abs_currentwtgavgrate,B_ABS_CURRENTWTGAVGRATE,当前加权平均贷款利率,
b_abs_cutoffdate,B_ABS_CUTOFFDATE,初始起算日,
b_abs_dealoutststandingamount,B_ABS_DEALOUTSTSTANDINGAMOUNT,项目余额,DEALDATE、UnitVal
b_abs_defiguarantor,B_ABS_DEFIGUARANTOR,差额支付承诺人,
b_abs_delinquencyrate,B_ABS_DELINQUENCYRATE,严重拖欠率,
b_abs_delinquencyrate2,B_ABS_DELINQUENCYRATE2,严重拖欠率,DEALDATE
b_abs_enddateofassetclearing,B_ABS_ENDDATEOFASSETCLEARING,清算结束日,
b_abs_endpoolbalance,B_ABS_ENDPOOLBALANCE,期末剩余资产池余额,DEALDATE、UnitVal
b_abs_endpoolnumber,B_ABS_ENDPOOLNUMBER,期末剩余资产池笔数,DEALDATE
b_abs_endweightedaveragelife,B_ABS_ENDWEIGHTEDAVERAGELIFE,期末资产池剩余期限,DEALDATE
b_abs_endweightedaveragerate,B_ABS_ENDWEIGHTEDAVERAGERATE,期末资产池加权平均利率,DEALDATE
b_abs_expectedmaturitywithprepay,B_ABS_EXPECTEDMATURITYWITHPREPAY,早偿预期到期日,
b_abs_expectrecoveryrate,B_ABS_EXPECTRECOVERYRATE,不良ABS预期回收比率,DEALDATE
b_abs_fiexdcapitalcostrate,B_ABS_FIEXDCAPITALCOSTRATE,固定资金成本,
b_abs_finalyiled,B_ABS_FINALYILED,证券最终收益率,
b_abs_firstpaymentdate,B_ABS_FIRSTPAYMENTDATE,首次支付日,
b_abs_fullnamepro,B_ABS_FULLNAMEPRO,项目名称,
b_abs_industry,B_ABS_INDUSTRY,主体行业,
b_abs_industry1,B_ABS_INDUSTRY1,主体性质,
b_abs_initialpoolbalance,B_ABS_INITIALPOOLBALANCE,初始资产池金额统计,AMTTYPE、UnitVal
b_abs_initialpoollife,B_ABS_INITIALPOOLLIFE,初始资产池期限统计,AMTTYPE
b_abs_initialpoolnumber,B_ABS_INITIALPOOLNUMBER,初始资产池数量统计,AMTTYPE
b_abs_initialpoolrate,B_ABS_INITIALPOOLRATE,初始资产池利率统计,AMTTYPE
b_abs_legalmaturity,B_ABS_LEGALMATURITY,法定到期日,
b_abs_liquiguarantor,B_ABS_LIQUIGUARANTOR,流动性支持承诺人,
b_abs_namepro,B_ABS_NAMEPRO,项目简称,
b_abs_payback,B_ABS_PAYBACK,还本方式,
b_abs_paymentdate,B_ABS_PAYMENTDATE,支付日,
b_abs_penetrateactrualdebtor,B_ABS_PENETRATEACTRUALDEBTOR,穿透信用主体,
b_abs_periodprepayrate,B_ABS_PERIODPREPAYRATE,期间早偿率,DEALDATE
b_abs_prepayrate_cbr,B_ABS_PREPAYRATE_CBR,ABS早偿率预测(中债资信),TRADEDATE、FN
b_abs_principalbasis_cbr,B_ABS_PRINCIPALBASIS_CBR,ABS本金因子(中债资信),TRADEDATE
b_abs_prinfinaldate,B_ABS_PRINFINALDATE,本金最终兑付日,
b_abs_projectcode,B_ABS_PROJECTCODE,项目代码,
b_abs_province,B_ABS_PROVINCE,主体地区,
b_abs_recommendcpr,B_ABS_RECOMMENDCPR,早偿率,
b_abs_recoveryrate_cbr,B_ABS_RECOVERYRATE_CBR,ABS回收率预测(中债资信),TRADEDATE、FN
b_abs_selfsustainingproportion,B_ABS_SELFSUSTAININGPROPORTION,自持比例,
b_abs_spv,B_ABS_SPV,计划管理人,
b_abs_startdateofassetclearing,B_ABS_STARTDATEOFASSETCLEARING,清算起始日,
b_abs_trustee,B_ABS_TRUSTEE,专项计划托管人,
b_abs_underlyingtype,B_ABS_UNDERLYINGTYPE,ABS基础资产分类,ABSType
b_abs_wal_cbr,B_ABS_WAL_CBR,ABS预计加权平均期限(中债资信),TRADEDATE
b_abs_weightedaveragematuritywithprepay,B_ABS_WEIGHTEDAVERAGEMATURITYWITHPREPAY,加权平均期限,Cycle
b_actissuer_area,B_ACTISSUER_AREA,国家或地区(穿透信用主体),
b_agency_bondtrustee,B_AGENCY_BONDTRUSTEE,受托管理人,
b_agency_bookkeeper,B_AGENCY_BOOKKEEPER,账簿管理人,
b_agency_booksupporter,B_AGENCY_BOOKSUPPORTER,集中簿记建档系统技术支持机构,
b_agency_certification,B_AGENCY_CERTIFICATION,绿色债券认证机构,
b_agency_fundbank,B_AGENCY_FUNDBANK,募集资金专项账户开户行,
b_agency_guarantorbriefing,B_AGENCY_GUARANTORBRIEFING,"担保人公司简介,b_agency_guarantorbriefing(新增)",
b_agency_guarantornature,B_AGENCY_GUARANTORNATURE,"担保人公司属性,b_agency_guarantornature(新增)",
b_agency_jointleadunder,B_AGENCY_JOINTLEADUNDER,联席主承销商,
b_agency_leadunderwritersn,B_AGENCY_LEADUNDERWRITERSN,主承销商(简称),
b_agency_management,B_AGENCY_MANAGEMENT,存续期管理机构,
b_agency_manaleadunder,B_AGENCY_MANALEADUNDER,牵头主承销商,
b_agency_reguarantor,B_AGENCY_REGUARANTOR,再担保人,
b_agency_underwriter,B_AGENCY_UNDERWRITER,牵头经办人,
b_anal_accrint_csi,B_ANAL_ACCRINT_CSI,应计利息(中证指数),DEALDATE
b_anal_accrint_shc,B_ANAL_ACCRINT_SHC,应计利息(上海清算所),DEALDATE
b_anal_basevalue_ifexe,B_ANAL_BASEVALUE_IFEXE,行权基点价值,TRADEDATE
b_anal_bconvexity_ifexe,B_ANAL_BCONVEXITY_IFEXE,行权基准凸性,TRADEDATE
b_anal_bduration,B_ANAL_BDURATION,基准久期(新增),TD
b_anal_bduration_ifexe,B_ANAL_BDURATION_IFEXE,行权基准久期,TRADEDATE
b_anal_bondcleanprice_cnbd,B_ANAL_BONDCLEANPRICE_CNBD,债底净价(中债),TRADEDATE
b_anal_bondcnvxty_cnbd,B_ANAL_BONDCNVXTY_CNBD,债底凸性(中债),TRADEDATE
b_anal_bonddirtyprice_cnbd,B_ANAL_BONDDIRTYPRICE_CNBD,债底全价(中债),TRADEDATE
b_anal_bondmodidura_cnbd,B_ANAL_BONDMODIDURA_CNBD,债底修正久期(中债),TRADEDATE
b_anal_bondpre_cnbd,B_ANAL_BONDPRE_CNBD,纯债溢价率(中债),TRADEDATE
b_anal_bondyield_cnbd,B_ANAL_BONDYIELD_CNBD,债底收益率(中债),TRADEDATE
b_anal_cnvxty_csi,B_ANAL_CNVXTY_CSI,估价凸性(中证指数),DEALDATE
b_anal_cnvxty_csi1,B_ANAL_CNVXTY_CSI1,估价凸性(中证指数),DEALDATE、Credibility
b_anal_cnvxty_shc,B_ANAL_CNVXTY_SHC,估价凸性(上海清算所),DEALDATE
b_anal_conversionpre_cnbd,B_ANAL_CONVERSIONPRE_CNBD,转股溢价率(中债),TRADEDATE
b_anal_conversionval_cnbd,B_ANAL_CONVERSIONVAL_CNBD,转股价值(中债),TRADEDATE
b_anal_convexity_ifexe,B_ANAL_CONVEXITY_IFEXE,行权凸性,TRADEDATE
b_anal_dailycf,B_ANAL_DAILYCF,指定日现金流,DEALDATE
b_anal_day,B_ANAL_DAY,距到期日时间(天)(新增),TD
b_anal_defaultsource,B_ANAL_DEFAULTSOURCE,估值来源,DEALDATE
b_anal_dirty_cfets,B_ANAL_DIRTY_CFETS,估价全价(中国货币网),TRADEDATE
b_anal_dirty_csi,B_ANAL_DIRTY_CSI,估价全价(中证指数),DEALDATE
b_anal_dirty_csi1,B_ANAL_DIRTY_CSI1,估价全价(中证指数),DEALDATE、Credibility
b_anal_dirty_shc,B_ANAL_DIRTY_SHC,估价全价(上海清算所),DEALDATE
b_anal_durationifexercise,B_ANAL_DURATIONIFEXERCISE,行权久期,TRADEDATE
b_anal_ebbondpre_csi,B_ANAL_EBBONDPRE_CSI,可交换债纯债溢价率(中证指数),TRADEDATE
b_anal_ebconversionpre_csi,B_ANAL_EBCONVERSIONPRE_CSI,可交换债转股溢价率(中证指数),TRADEDATE
b_anal_eboptionval_csi,B_ANAL_EBOPTIONVAL_CSI,可交换债期权价值(中证指数),TRADEDATE
b_anal_ebval_csi,B_ANAL_EBVAL_CSI,可交换债估值(中证指数),TRADEDATE
b_anal_ebvalyield_csi,B_ANAL_EBVALYIELD_CSI,可交换债估值收益率(中证指数),TRADEDATE
b_anal_exercisecouponrate_cnbd,B_ANAL_EXERCISECOUPONRATE_CNBD,估算的行权后票面利率,DEALDATE
b_anal_lastdate_cfets,B_ANAL_LASTDATE_CFETS,最新估值日期(中国货币网),
b_anal_lastdate_cnbd,B_ANAL_LASTDATE_CNBD,最新中债估值日期,
b_anal_lastdate_csi,B_ANAL_LASTDATE_CSI,最新中证估值日期,
b_anal_lastdate_shc,B_ANAL_LASTDATE_SHC,最新清算所估值日期,
b_anal_latestpar_cnbd,B_ANAL_LATESTPAR_CNBD,剩余本金(中债),TRADEDATE、Credibility
b_anal_maturityspreadcdb,B_ANAL_MATURITYSPREADCDB,到期利差(减国开),TRADEDATE
b_anal_maturityspreadtb,B_ANAL_MATURITYSPREADTB,到期利差(减国债),TRADEDATE
b_anal_modidura_csi,B_ANAL_MODIDURA_CSI,估价修正久期(中证指数),DEALDATE
b_anal_modidura_csi1,B_ANAL_MODIDURA_CSI1,估价修正久期(中证指数),DEALDATE、Credibility
b_anal_modidura_shc,B_ANAL_MODIDURA_SHC,估价修正久期(上海清算所),DEALDATE
b_anal_modiduration_ifexe,B_ANAL_MODIDURATION_IFEXE,行权修正久期,TRADEDATE
b_anal_net_cfets,B_ANAL_NET_CFETS,估价净价(中国货币网),TRADEDATE
b_anal_net_csi,B_ANAL_NET_CSI,估价净价(中证指数),DEALDATE
b_anal_net_csi1,B_ANAL_NET_CSI1,估价净价(中证指数),DEALDATE、Credibility
